"","lemma","n","share","fifteen_minutes","climate_lockdown","ulez","insect"
"1","city",2680,0.0273279765060978,1264,131,1528,23
"2","people",1376,0.0140310804747726,322,165,607,415
"3","minute",1253,0.0127768487172166,1146,63,175,22
"4","food",1196,0.0121956193661541,26,33,124,1028
"5","insect",989,0.0100848390912428,3,NA,8,987
"6","world",731,0.00745401150222295,102,76,355,223
"7","climate",720,0.00734184443447404,122,425,119,112
"8","year",592,0.0060366276461231,142,71,214,204
"9","time",557,0.00567973243055839,115,60,196,217
"10","government",534,0.00544520128890158,87,75,267,129
"11","plan",507,0.0051698821226088,185,79,226,81
"12","lockdown",492,0.00501692703022393,45,434,48,4
"13","system",462,0.00471101684545417,59,41,280,104
"14","bug",425,0.00433372761757148,26,1,30,374
"15","part",424,0.00432353061141249,60,48,163,175
"16","cricket",392,0.00399722641432475,NA,NA,NA,392
"17","meat",391,0.00398702940816576,30,21,23,327
"18","day",386,0.0039360443773708,95,48,139,142
"19","way",374,0.0038136803034629,68,25,137,161
"20","life",364,0.00371171024187299,62,30,152,143
"21","control",346,0.00352816413101113,75,59,164,83
"22","technology",339,0.00345678508789819,16,8,298,31
"23","thing",335,0.00341599706326223,59,21,155,113
"24","child",314,0.0032018599339234,33,17,80,188
"25","change",309,0.00315087490312844,55,59,108,103
"26","credit",306,0.00312028388465147,93,44,154,38
"27","product",302,0.0030794958600155,16,1,29,258
"28","City",295,0.00300811681690256,76,6,234,3
"29","car",288,0.00293673777378962,111,49,183,19
"30","future",278,0.0028347677121997,78,11,121,70
"31","surveillance",276,0.00281437369988171,66,22,216,9
"32","protein",265,0.00270220663213281,1,NA,6,259
"33","pm",261,0.00266141860749684,140,14,119,24
"34","agenda",260,0.00265122160133785,48,39,118,72
"35","freedom",260,0.00265122160133785,104,43,129,29
"36","country",254,0.0025900395643839,43,19,121,86
"37","camera",249,0.00253905453358894,92,15,168,6
"38","video",243,0.00247787249663499,58,25,124,46
"39","water",235,0.00239629644736305,6,32,56,147
"40","land",233,0.00237590243504507,22,5,154,70
"41","area",229,0.0023351144104091,56,15,100,73
"42","power",223,0.00227393237345515,27,35,122,53
"43","war",218,0.00222294734266019,14,23,112,74
"44","order",216,0.00220255333034221,42,36,103,58
"45","carbon",215,0.00219235632418322,39,53,83,72
"46","insects",214,0.00218215931802423,NA,NA,NA,214
"47","company",212,0.00216176530570624,2,12,110,91
"48","prison",210,0.00214137129338826,73,11,140,7
"49","resident",209,0.00213117428722927,130,64,91,NA
"50","animal",203,0.00206999225027532,1,11,27,167
"51","plant",199,0.00202920422563935,4,3,12,185
"52","data",198,0.00201900721948036,8,15,159,28
"53","health",197,0.00200881021332137,23,31,59,90
"54","Reset",196,0.00199861320716238,23,22,116,43
"55","human",192,0.00195782518252641,13,4,55,124
"56","source",189,0.00192723416404944,10,7,33,141
"57","today",188,0.00191703715789044,66,14,83,40
"58","movement",186,0.00189664314557246,79,19,101,25
"59","media",185,0.00188644613941347,35,30,49,74
"60","group",183,0.00186605212709548,34,30,79,48
"61","one",183,0.00186605212709548,47,19,58,71
"62","id",180,0.00183546110861851,50,37,99,9
"63","place",180,0.00183546110861851,40,15,99,43
"64","energy",178,0.00181506709630053,6,40,95,42
"65","planet",178,0.00181506709630053,35,23,48,88
"66","internet",173,0.00176408206550557,6,6,136,32
"67","home",172,0.00175388505934658,49,22,72,39
"68","state",165,0.00168250601623363,28,24,77,42
"69","use",164,0.00167230901007464,10,22,67,79
"70","vaccine",164,0.00167230901007464,22,22,57,67
"71","citizen",163,0.00166211200391565,28,15,88,40
"72","conspiracy",162,0.00165191499775666,48,59,51,27
"73","idea",160,0.00163152098543868,50,9,55,59
"74","humanity",159,0.00162132397927968,13,6,61,92
"75","emission",153,0.00156014194232573,18,22,106,39
"76","body",152,0.00154994493616674,6,5,41,101
"77","business",152,0.00154994493616674,29,17,97,31
"78","truth",145,0.0014785658930538,19,8,48,74
"79","population",143,0.00145817188073582,17,17,66,58
"80","project",143,0.00145817188073582,14,5,95,32
"81","society",139,0.00141738385609985,15,21,79,28
"82","goal",138,0.00140718684994086,16,13,76,43
"83","mealworm",138,0.00140718684994086,NA,NA,NA,138
"84","money",138,0.00140718684994086,26,17,83,33
"85","recognition",138,0.00140718684994086,42,7,90,10
"86","report",137,0.00139698984378187,14,23,61,42
"87","week",137,0.00139698984378187,43,15,38,44
"88","number",136,0.00138679283762287,19,12,59,56
"89","school",136,0.00138679283762287,11,4,21,102
"90","death",131,0.00133580780682792,11,18,43,66
"91","end",129,0.00131541379450993,15,14,69,33
"92","news",128,0.00130521678835094,16,22,40,59
"93","information",127,0.00129501978219195,7,12,76,39
"94","powder",127,0.00129501978219195,NA,NA,NA,127
"95","lot",123,0.00125423175755598,26,12,42,49
