"","lemma","n","share","fifteen_minutes","climate_lockdown","ulez","insect"
"1","ville",543,0.0182349385452347,207,44,328,22
"2","insecte",461,0.0154812277520317,2,3,1,455
"3","monde",252,0.00846262341325811,28,26,89,115
"4","minute",235,0.0078917321512526,190,28,45,12
"5","produit",183,0.00614547652629458,2,NA,15,166
"6","confinement",170,0.00570891262005507,9,157,9,3
"7","gens",168,0.00564174894217207,39,20,47,77
"8","grillon",165,0.00554100342534757,NA,NA,NA,165
"9","nourriture",145,0.00486936664651756,1,4,6,134
"10","projet",144,0.00483578480757606,26,16,106,11
"11","an",137,0.00460071193498556,14,23,94,10
"12","base",135,0.00453354825710256,1,3,12,119
"13","système",131,0.00439922090133656,13,13,72,40
"14","voiture",129,0.00433205722345356,32,26,79,9
"15","changement",125,0.00419772986768755,17,29,29,56
"16","vie",125,0.00419772986768755,27,6,51,52
"17","farine",122,0.00409698435086305,NA,NA,NA,122
"18","place",120,0.00402982067298005,11,27,73,23
"19","zone",116,0.00389549331721405,30,14,84,7
"20","gouvernement",113,0.00379474780038955,17,33,44,24
"21","eau",112,0.00376116596144805,27,4,26,55
"22","personne",111,0.00372758412250655,21,15,36,50
"23","santé",108,0.00362683860568205,5,25,40,42
"24","enfant",107,0.00359325676674055,7,10,21,71
"25","population",101,0.00339176573309154,17,10,46,31
"26","aliment",99,0.00332460205520854,NA,NA,1,98
"27","jour",98,0.00329102021626704,9,27,29,35
"28","contrôle",94,0.00315669286050104,23,13,32,29
"29","technologie",94,0.00315669286050104,14,3,67,17
"30","véhicule",94,0.00315669286050104,11,6,78,1
"31","plan",93,0.00312311102155954,19,18,42,25
"32","viande",93,0.00312311102155954,3,10,2,78
"33","chose",91,0.00305594734367654,12,4,21,55
"34","source",91,0.00305594734367654,11,10,23,55
"35","surveillance",88,0.00295520182685204,23,6,58,9
"36","émission",87,0.00292161998791054,4,9,70,10
"37","caméra",85,0.00285445631002754,16,5,74,1
"38","consommation",85,0.00285445631002754,NA,12,19,54
"39","année",84,0.00282087447108604,8,12,30,36
"40","million",83,0.00278729263214454,11,4,40,29
"41","donnée",82,0.00275371079320304,18,4,54,16
"42","énergie",82,0.00275371079320304,1,23,30,30
"43","exemple",81,0.00272012895426154,11,6,50,18
"44","liberté",81,0.00272012895426154,14,4,57,10
"45","corps",80,0.00268654711532003,23,NA,30,42
"46","planète",80,0.00268654711532003,14,10,9,55
"47","crise",79,0.00265296527637853,3,18,40,18
"48","article",78,0.00261938343743703,5,9,43,23
"49","pays",78,0.00261938343743703,3,14,27,34
"50","besoin",77,0.00258580159849553,25,11,23,27
"51","poudre",76,0.00255221975955403,NA,NA,NA,76
"52","carbone",75,0.00251863792061253,5,16,48,9
"53","entreprise",74,0.00248505608167103,7,10,24,33
"54","mesure",74,0.00248505608167103,9,33,29,7
"55","aluminium",73,0.00245147424272953,NA,NA,NA,73
"56","utilisation",70,0.00235072872590503,5,9,16,42
"57","partie",69,0.00231714688696353,5,4,29,32
"58","protéine",68,0.00228356504802203,NA,NA,NA,68
"59","information",67,0.00224998320908053,16,3,27,32
"60","terre",67,0.00224998320908053,5,1,20,41
"61","citoyen",66,0.00221640137013903,12,7,45,3
"62","habitant",66,0.00221640137013903,11,11,40,8
"63","point",66,0.00221640137013903,9,4,20,34
"64","droit",65,0.00218281953119753,9,14,32,10
"65","fin",65,0.00218281953119753,2,12,21,32
"66","quartier",63,0.00211565585331453,47,12,14,1
"67","fait",61,0.00204849217543153,8,8,23,25
"68","Forum",60,0.00201491033649003,9,3,29,21
"69","citie",60,0.00201491033649003,8,NA,53,NA
"70","climat",60,0.00201491033649003,5,22,27,10
"71","fois",60,0.00201491033649003,7,10,9,39
"72","graphène",60,0.00201491033649003,NA,NA,6,54
"73","service",60,0.00201491033649003,12,3,46,2
"74","développement",59,0.00198132849754853,2,4,48,5
"75","solution",59,0.00198132849754853,NA,17,13,29
"76","temps",59,0.00198132849754853,6,9,16,30
"77","cadre",58,0.00194774665860703,10,15,28,8
"78","société",58,0.00194774665860703,5,8,33,16
"79","vaccin",58,0.00194774665860703,10,13,29,15
"80","cours",57,0.00191416481966552,6,3,24,26
"81","homme",57,0.00191416481966552,9,6,26,16
"82","ministre",56,0.00188058298072402,3,6,25,25
"83","programme",56,0.00188058298072402,12,4,32,11
"84","réchauffement",56,0.00188058298072402,7,24,13,13
"85","maison",55,0.00184700114178252,6,10,36,6
"86","objectif",54,0.00181341930284102,14,8,33,8
"87","réseau",53,0.00177983746389952,6,4,36,9
"88","traduction",53,0.00177983746389952,9,7,26,16
"89","avenir",52,0.00174625562495802,11,11,15,19
"90","loi",52,0.00174625562495802,NA,3,33,16
"91","crédit",51,0.00171267378601652,8,15,28,2
"92","guerre",51,0.00171267378601652,2,12,9,28
"93","nom",51,0.00171267378601652,5,9,9,28
"94","restriction",51,0.00171267378601652,10,6,33,5
"95","conseil",50,0.00167909194707502,17,18,14,8
"96","milliard",50,0.00167909194707502,10,9,26,14
"97","raison",50,0.00167909194707502,4,12,21,17
"98","vers",50,0.00167909194707502,NA,NA,NA,50
"99","animal",49,0.00164551010813352,NA,NA,9,40
