"","bic","city","zip","bank_name","n"
"1","REVOLT21XXX","Vilnius","08130","Revolut Bank UAB",35
"2","NTSBDEB1XXX","Berlin","10179","N26 Bank",32
"3","BELADEBEXXX","Berlin","10889","Landesbank Berlin - Berliner Sparkasse",15
"4","POFICHBEXXX","Bern","3030","PostFinance AG",15
"5","GIBAATWWXXX","Wien","1100","Erste Bank der oesterreichischen Sparkassen AG",13
"6","INGDDEFFXXX","Frankfurt am Main","60628","ING-DiBa",12
"7","PBNKDEFFXXX","Berlin","10559","Postbank Ndl der DB Privat- und Firmenkundenbank",12
"8","GENODEM1GLS","Bochum","44789","GLS Gemeinschaftsbank",11
"9","BYLADEM1001","Berlin","10117","Deutsche Kreditbank Berlin",10
"10","EVIULT2VXXX","Vilnius","04352","Paysera LLt UAB",10
"11","BAWAATWWXXX","Wien","1100","BAWAG P.S.K. Bank für Arbeit und Wirtschaft und Österreichische Postsparkasse Aktiengesellschaft",7
"12","FDDODEMMXXX","München","80335","Fidor Bank",6
"13","GENODEF1SLR","Schmölln","04626","VR-Bank Altenburger Land / Deutsche Skatbank",6
"14","OSDDDE81XXX","Dresden","01305","Ostsächsische Sparkasse Dresden",6
"15","RAIFCH22XXX","St. Gallen","9001","Raiffeisen Schweiz",6
"16","BKAUATWWXXX","Wien","1020","UniCredit Bank Austria AG",5
"17","CMCIDEDDXXX","Düsseldorf","40213","TARGOBANK",5
"18","HASPDEHHXXX","Hamburg","20454","Hamburger Sparkasse",5
"19","SOBKDEB2XXX","Berlin","10178","solarisBank Gf (S)",5
"20","WELADE8LXXX","Leipzig","04008","Stadt- und Kreissparkasse Leipzig",5
"21","COLSDE33XXX","Köln","50667","Sparkasse KölnBonn",4
"22","DAAEDEDDXXX","Düsseldorf","40001","apoBank",4
"23","NASSDE55XXX","Wiesbaden","65034","Nassauische Sparkasse",4
"24","PBNKDEFFXXX","Köln","51222","Postbank Ndl der DB Privat- und Firmenkundenbank",4
"25","SOBKDEBBXXX","Berlin","10178","solarisBank",4
"26","AACSDE33XXX","Aachen","52059","Sparkasse Aachen",3
"27","BFSWDE33XXX","Köln","50443","Bank für Sozialwirtschaft",3
"28","COBADEHD001","Quickborn","25449","comdirect bank",3
"29","COKSDE33XXX","Köln","50461","Kreissparkasse Köln",3
"30","GENODED1BNA","Bad Neuenahr-Ahrweiler","53474","Volksbank RheinAhrEifel",3
"31","GENODED1BRS","Bonn","53015","Volksbank Köln Bonn",3
"32","GENODEF1P17","Nürnberg","90328","PSD Bank",3
"33","HELADEF1822","Frankfurt am Main","60255","Frankfurter Sparkasse",3
"34","HOLVDEB1XXX","Berlin","12059","Holvi Payment Services Zweigniederlassung Deutschland",3
"35","MALADE51AHR","Bad Neuenahr-Ahrweiler","53458","Kreissparkasse Ahrweiler",3
"36","OBKLAT2LXXX","Linz","4020","Oberbank AG",3
