"","detected_language","is_climate_post","n"
"1","de",0,26837
"2","en",0,133
"3","de",1,25
"4","mk",0,12
"5","nl",0,12
"6","es",0,11
"7","fr",0,11
"8","it",0,6
"9","bg",0,5
"10","ru",0,5
"11","so",0,2
"12","da",0,1
"13","et",0,1
"14","hr",0,1
"15","ro",0,1
