"","address","n","coin","coin_amount","dollar_amount","dollar_numeric"
"141","13818CrimesAgainstHumanity",8,"btc",NA,NA,NA
"142","14543a22cdb6275c7d199a33feb313ed",8,"btc",NA,NA,NA
"143","16b29d58db6745cbcb53c4e3ed91aead",8,"btc",NA,NA,NA
"144","17C55k8KftKbovKb789e4diBHjyk4kXyF5",8,"btc","2.57109960 BTC","$69,505.08",69505.08
"145","1LeebMVtXGvky19AcoYAzuZaqdEhQe6gzn",8,"btc","0.60509940 BTC","$16,357.78",16357.78
"146","36qeZLpYvGRoCkkggm2t8LH4SUXdVnhJ",8,"btc",NA,NA,NA
"147","37kJHRBLaiyfhmXGyTAJbCz3J2SzxRJbLw",8,"btc","0.18980320 BTC","$5,130.99",5130.99
"148","3888a9a4d91e5235228e1bc6e29f1d66",8,"btc",NA,NA,NA
"149","3952211bd482a785d3a8fbe9cc4d7c86",8,"btc",NA,NA,NA
"150","3DeNJ3i9enNAcELPCLe6gdsmh37TwqYr",8,"btc",NA,NA,NA
"151","3DPostBottomSharingButtons",8,"btc",NA,NA,NA
"152","3E4dxH2ebJBZPbXpbRsXFFAMBabEPbv3Zp",8,"btc","0.18330519 BTC","$4,955.33",4955.33
"153","3EDF4rjoHgJo8LKXrjesdDEUDsPd5eVn",8,"btc",NA,NA,NA
"154","3V4WWJXM6CY7CDDRE34XWDKQNM",8,"btc",NA,NA,NA
"155","3VWBZ7TMTJH7JGC23T6CPL63KE",8,"btc",NA,NA,NA
"156","bc1qk8nydv8pnyvl3y946jzvqlnnqwgu5d66l6un34",8,"btc","0.00701943 BTC","$189.76",189.76
"157","bc1qq73metffvpsxwywnfqh9grlt6k5wmtv7n2ruxe",8,"btc","0.00000000 BTC","$0.00",0
"158","0x60f80121c31a0d46b5279700f9df786054aa5ee5",7,"eth","0.00 ETH","$0.00",0
"159","0xb44739a8f2c57Cad38F96Aab8F2a0cA18258A7bA",7,"eth","1.187687666998665559 ETH","$1,932.12",1932.12
"160","0xb73Eddbd6fCE01Fd7824218F025D4d7fB447868f",7,"eth","18.662516455077052794 ETH","$30,366.71",30366.71
"161","0xc9cB449cdc355c1295CBbba6cE74935BB01B0b3D",7,"eth","0.00 ETH","$0.00",0
"162","0xd33F5DE33EFd21624dCB65EC71856F64C066EE90",7,"eth","0.009459932328878311 ETH","$15.39",15.39
"163","0xDC209281EACcE785c60AC660F2714851593A1c9F",7,"eth","1.583077731264838298 ETH","$2,575.34",2575.34
"164","17hGV89wxpTWAbsRsAUiMoTjFMbkRSaNY",7,"btc",NA,NA,NA
"165","1dba6aa94ca446bab77faa8f8912ed85",7,"btc",NA,NA,NA
"166","1e751a6b7f366eec396d146b3813eed2",7,"btc",NA,NA,NA
"167","1gaNTki5gYY1FVDQ5XycDbionNo",7,"btc",NA,NA,NA
"168","1LdN9igdvAc2GGtaApbq93hhfMLmyEAZJe",7,"btc","0.00000000 BTC","$0.00",0
"169","1mPoEZHeQefVa8x2gxKTnyhtEYdT",7,"btc",NA,NA,NA
"170","1NJsvZb9EoCS6kLLee3qRyFu7B9xPqG7bh",7,"btc","0.04502121 BTC","$1,217.07",1217.07
"171","3457oqifcq7rkrte3pj52s3vzu",7,"btc",NA,NA,NA
"172","3dsoccec25aubny73ncs36x4ia",7,"btc",NA,NA,NA
"173","3NVW1YKAyMB7vGqKTrdCyZ1JMP54RHjR6m",7,"btc","0.01077453 BTC","$291.27",291.27
"174","3sFF7AQU3Hh3taAgekgTpkvZVprt4bVU",7,"btc",NA,NA,NA
"175","bc1qqjecv7evml4xm5ljjx2l7c3vjs92rgerr5st5z",7,"btc","0.25290523 BTC","$6,836.92",6836.92
"176","0x301Ff3cc554e7B336E20b0534c66046e56C3DC91",6,"eth","0.363778234862389827 ETH","$591.91",591.91
"177","0x409d5d085532E28e8B85bF1bC43F32B12bcC3eAe",6,"eth","0.01281174 ETH","$20.85",20.85
"178","0x82a572e5Fe934441F04e3Ce5E97B96A35dd8E91A",6,"eth","0.05103753 ETH","$83.05",83.05
"179","0x8fCC8585A16745f1B6588B4258D1E67970bf5Ed9",6,"eth","0.17558110368366838 ETH","$285.70",285.7
"180","0xbf99b35b102094a130e0872e981ca422328f4be6",6,"eth","0.00 ETH","$0.00",0
"181","0xECB0abfBe791e83eC7E59FBb20Caec4DE8B1A327",6,"eth","1.313677750692211336 ETH","$2,137.55",2137.55
"182","1367b5a3fbb6549aee6b918e6696ecc4",6,"btc",NA,NA,NA
"183","14tLNUYw96u7pdhviu5kxf5vWvE43SPkmq",6,"btc","0.18935416 BTC","$5,118.85",5118.85
"184","1989TiananmenSquareMassacre",6,"btc",NA,NA,NA
"185","1d59c9bfce76448691514a3e35321cb6",6,"btc",NA,NA,NA
"186","1fcenrs1sn92Xmv4UzrTidDZw16q1c",6,"btc",NA,NA,NA
"187","1H3mHiUZCz9jyfDFTTpYw7VuYCgMtuLWW",6,"btc",NA,NA,NA
"188","1Jyfn4Wd2i6bRi12ePghMHtX3ys1b7K1A",6,"btc",NA,NA,NA
"189","1Nhpu3QwYAjRYZUnmaVi45pgkYYsqPrCmK",6,"btc","0.01860500 BTC","$502.96",502.96
"190","1pra8z6zqh9gz1n1q12zz1zzqz3",6,"btc",NA,NA,NA
"191","1RRHCUPF7ygW2cj4tRMbiKwSC9tAxXyXS",6,"btc",NA,NA,NA
"192","1U6EcfG5QxuDxPmgq68kFM4WtGR",6,"btc",NA,NA,NA
"193","1wk7qJUSrqJhd2ZamMJkQMraW6FTacKep",6,"btc",NA,NA,NA
"194","33449c86fccf43a6abe13254b72ea3dd",6,"btc",NA,NA,NA
"195","36c1a1c7b5c3431147948a9dcea5395a",6,"btc",NA,NA,NA
"196","384ce223729f4cfb9c6deba2844a8a38",6,"btc",NA,NA,NA
"197","3ad77fdfeeed46c3bd5c3e8adfc77f33",6,"btc",NA,NA,NA
"198","3BesCufrQcNthp7xFfnhoQtNhCxjVA3z",6,"btc",NA,NA,NA
"199","3Bs8iTS664LoS6jzRLVFqUKxsvvz7cgs",6,"btc",NA,NA,NA
"200","3DEvAXPTgz3bLHiimuwo9rGpNS7n68Lz",6,"btc",NA,NA,NA
"201","3DFRAnzVrziUEiqbdc6wCn1Yx1usvgoQMk",6,"btc",NA,NA,NA
"202","3FmS3iuY3sjjqdFhk9S9XW1GjERSGKKwMb",6,"btc","1.16049376 BTC","$31,370.56",31370.56
"203","3G1xrByifSgztb1HCDVKSehhBGdKPF6D2R",6,"btc","0.00000000 BTC","$0.00",0
"204","3iemirK6yD8BFv7tXYpPLRaaoNEH9Q9t",6,"btc",NA,NA,NA
"205","3JGJahC3SpHtPnUy87mPGUTF5CXmN6p6Dx",6,"btc",NA,NA,NA
"206","3KWeCqTjzLXr4r33Xk6xSFdt9jYdgNrq1p",6,"btc","0.00000000 BTC","$0.00",0
"207","3Lw67FpA1TKA52amaEMZFB8UWdtRnJGd",6,"btc",NA,NA,NA
"208","3R1QibmUdXFADWriJNF5w7Mbu3MFjxFvYx",6,"btc","0.00000000 BTC","$0.00",0
"209","3Z2QH3HSMBATTNHR3QV7G2Z3QE",6,"btc",NA,NA,NA
"210","3ZtXhR7NtAqpkwKtdv5pw4UmC5J8idjXm",6,"btc",NA,NA,NA
"211","bc1q6urf9z02xl2d5c54xycx0hr4j3xctf6rqlhm2t",6,"btc","0.32050814 BTC","$8,664.00",8664
"212","bc1qvh9fm5jtucnd2kfjqravwaef0ewtqjcg3r3h5k",6,"btc","0.02300099 BTC","$621.74",621.74
"213","0x0a5bc35f81c4e12a5aa6c09144d33f5da7b9ceec",5,"eth","0.00 ETH","$0.00",0
"214","0x18d83c60d3b933960c5ff5Cbb9596f495eBa0d99",5,"eth","0.00 ETH","$0.00",0
"215","0x509C1e3604985d6D580aF04E0d7Da6320Fd5d10a",5,"eth","0.00 ETH","$0.00",0
"216","0x5874fA981C592958b6ab231d5662456C5BF4429d",5,"eth","7.57926706311734099 ETH","$12,332.38",12332.38
"217","0x7EB8aF5D7C4026E5DfB849c74D75A8a16AfD8537",5,"eth","0.00 ETH","$0.00",0
"218","0x9BDe1b41187F62fFA812e7c3d00F5A22Df9a3a19",5,"eth","0.10554793 ETH","$171.74",171.74
"219","0xf349604CFa2d36E6A7aE3E0C4479F18375d8F3C7",5,"eth","1.152363896744283806 ETH","$1,875.03",1875.03
"220","1281ce3f8d934ad8bcaac318cf76b2c4",5,"btc",NA,NA,NA
"221","134zHUXFQYXvDecKMdL8eHFYqHvnw79xtw",5,"btc","0.00000000 BTC","$0.00",0
"222","13ZBWmsB7F6uNvSRtBm5tfnRNHHPj4jWdF",5,"btc","0.00186000 BTC","$50.28",50.28
"223","14e6baf23c38468f8c2adf13b27ebc19",5,"btc",NA,NA,NA
"224","1ad5c29dc91c4229fda7beb73be5c182",5,"btc",NA,NA,NA
"225","1aFFwGSaW6VkdR1v9FYoXUVocgGWwzTfk",5,"btc",NA,NA,NA
"226","1baa93263deb42c2b9a3c124332aba13",5,"btc",NA,NA,NA
"227","1e73ab1935d7a464592c853ebdd2914e",5,"btc",NA,NA,NA
"228","1WeEviCQskFqqH9iqRG73oZLQq5xXQ13g",5,"btc",NA,NA,NA
"229","31bu2ziwxr2n7q6auwz2z2akntka",5,"btc",NA,NA,NA
"230","32c9f4985ca45784fd9cfa2ba21f8553",5,"btc",NA,NA,NA
"231","39e77a93caf64d3b97ebabb44da92535",5,"btc",NA,NA,NA
"232","3a35c846b597459ea5f79e929c5bbc9e",5,"btc",NA,NA,NA
"233","3ARQYQXXWWFNTEQ7XGR3CYXYCM",5,"btc",NA,NA,NA
"234","3D284qDt6Lw8zHxtLWc2YPS2kC9e7y5p",5,"btc",NA,NA,NA
"235","3Fv4i9ftBj8HZQrB8cxEA2u4yCPncFMqw3",5,"btc",NA,"$554.49",554.49
"236","3gwp4mro7nez5ihuqdqsmneiei",5,"btc",NA,NA,NA
"237","3HB8BYH9xqk8a4HBpZGBLg1GEaLwRgDjvS",5,"btc","0.60688680 BTC","$16,404.82",16404.82
"238","3JK4KPS5TRHWDD2PLQWLEFGXHU",5,"btc",NA,NA,NA
"239","3MNbWXUdjFf9uokVR5ysJ1SovV8FJr8Nqw",5,"btc","0.00000000 BTC","$0.00",0
"240","3sJTmnkPo5RpMrADS9C1CAgPrJ8T9TqL",5,"btc",NA,NA,NA
"241","3SyEg2VqmeRsLKohqWvHNJxYqKoDx2cT",5,"btc",NA,NA,NA
"242","3z52HgzGEnfH1VKaZ1dE1NTEkpJfuQgM",5,"btc",NA,NA,NA
"243","bc1q4je43jh0s026247x6uc0tl95eckqnjv4p5f74z",5,"btc",NA,NA,NA
"244","bc1q6vp57lnhwze2qr6p83pzvmnhtxu0gluddpnr46",5,"btc",NA,NA,NA
"245","bc1q8mjrs3xz7ntnrjxhln3kr8rmgrk6rfg9c2tw8k9hs3reuark823qequ6z4",5,NA,"0.00000000 BTC","$0.00",0
"246","bc1qxpe5mcgplq9hnse86nxvka4ryfj33hg9ywm6ks",5,"btc","0.26258590 BTC","$7,098.99",7098.99
"247",", u",4,NA,"0.26258590 BTC","$7,098.99",7098.99
"248","0x064c8e55aa484adbd58ca2d43343ef50137473b7",4,"eth","0.00 ETH","$0.00",0
"249","0x23D3808fEaEb966F9C6c5EF326E1dD37686E5972",4,"eth","85.312129528818193395 ETH","$138,813",138813
"250","0x4f370de7279ed3b07708bdb231b50bb60028e465",4,"eth","0.00 ETH","$0.00",0
"251","0x7c597d8bd58f7f5fc021f62ce042a1a5a2ed6f02",4,"eth","0.00 ETH","$0.00",0
"252","0x8838C0e3d90c56F3e923944afAfB197776c9cD58",4,"eth","1.994042202609507429 ETH","$3,244.55",3244.55
"253","0x8e4B33b69CBbfba2B55B63514fe61c031E03398C",4,"eth","2.258360093847077978 ETH","$3,674.62",3674.62
"254","0x91c958EC37CC317E09439511Eef8b4ce51A5d1E8",4,"eth","1.080706990304909583 ETH","$1,758.44",1758.44
