"","address","n","coin","coin_amount","dollar_amount","dollar_numeric"
"1","1BTc7rYxLcyiLDKzCLLjfCuafJWJYrexHF",18872,"btc","0.00536223 BTC","$144.70",144.7
"2","0x4f58888EC23a2A7ca6e6AE2E5bc6B9d9589b2a5E",14131,"eth","0.00 ETH","$0.00",0
"3","0x4f58888ec23a2a7ca6e6ae2e5bc6b9d9589b2a5e",9219,"eth","0.00 ETH","$0.00",0
"4","1Ej9DWvq2nera1Pn7kbrKVBuKivKYdYaFC",1475,"btc",NA,NA,NA
"5","0xEaB82ac9833F46B08fC5dc0F9532E004C4b02A84",1449,"eth","0.04642645452564148 ETH","$75.47",75.47
"6","0x0409ee9153db15a25fe12645d2d0af6b6179ba76",777,"eth","0.2084308 ETH","$338.83",338.83
"7","bc1qxz4z8sr9pt8jtxtlmsn84sljv3kgvxc7v8l25p",684,"btc","0.01471566 BTC","$397.22",397.22
"8","0x1813f6fe24de48bd52e83e13b5d830c4f4b59adb",488,"eth","0.00 ETH","$0.00",0
"9","0xE43c58557610d4D4Cc214e691e77FcC8e414d378",344,"eth","0.750452383931422985 ETH","$1,219.97",1219.97
"10","0xe82badf03db7746fa67a61316e35ada6e13eaac3",204,"eth","0.00 ETH","$0.00",0
"11","bc1qxcj2wrgny2wvrlqah5d49r5zhj20809899ypx0",172,"btc","0.05966606 BTC","$1,610.09",1610.09
"12","bc1qh5jepa9de30dhksjqrfzymwrpnn3kwdx58gmad9ehe5xp488usuq94xz6l",114,NA,"0.05966606 BTC","$1,610.09",1610.09
"13","3Qdfhyps9gLc9btQbdcTpqLwuQLEPGZoKv",106,"btc","0.00380111 BTC","$102.70",102.7
"14","0x55d398326f99059fF775485246999027B3197955",103,"eth","133.288580180335116215 ETH","$216,679",216679
"15","3PQ8xZUhwHu88J2hkQCzmhFAcCpGc4jLgz",103,"btc","0.00636638 BTC","$171.85",171.85
"16","0xCF8335727B776d190f9D15a54E6B9B9348439eEE",91,"eth","0.00 ETH","$0.00",0
"17","0x495f947276749ce646f68ac8c248420045cb7b5e",89,"eth","0.00 ETH","$0.00",0
"18","0xef22572FeC629Df889FA86b4520E473a4ED09553",89,"eth","0.00 ETH","$0.00",0
"19","3Dvn3pzb5azoXJK5WtDZG7SjkHe1MF3N",89,"btc",NA,NA,NA
"20","0x0B0e6d366fEfF2dbA1187438C23786c4C9Fc20Fe",77,"eth","0.00 ETH","$0.00",0
"21","0x4739352b67Da6F4064757627D92A08EaDd3fb6b6",75,"eth","2.318497364009115294 ETH","$3,770.67",3770.67
"22","33i1BwMuzeYTAUNtiLa6CjvaHtTVYNJfnp",75,"btc",NA,NA,NA
"23","32AfrhXVsMrUEZGuGcubTWy6mFmoq3tX",64,"btc",NA,NA,NA
"24","0xcf8335727b776d190f9d15a54e6b9b9348439eee",57,"eth","0.00 ETH","$0.00",0
"25","3db64b3ec219688bd987458cc3f738ec",56,"btc",NA,NA,NA
"26","0xf0c4FcAd6597EcA8882d2be8724d31f56bf5D9fd",53,"eth","0.00 ETH","$0.00",0
"27","0x433ed1795366315e535fcd286f9c063924145d08",52,"eth","0.00 ETH","$0.00",0
"28","0xA1821953Ac06663A90Af84fb362FA47ACA5535EC",52,"eth","0.015065 ETH","$24.50",24.5
"29","3MNHV5XHKnEDWTxpDLDFbd2r6tYzoTEJtw",52,"btc","0.00121127 BTC","$32.73",32.73
"30","bc1qgvly6efv4e4qznhkfux6p5aklqdryeum5vvfq4",52,"btc","2.35625775 BTC","$63,660.12",63660.12
"31","3fno9tqREE91m3oekJFT8pMT9S1AGVsA",50,"btc",NA,NA,NA
"32","14eQRbtXsuaGS6cv1risWtW6rpaVmzPh5M",49,"btc","0.00000000 BTC","$0.00",0
"33","3f3f348d176bc7152a8cb2dbab2e4cc4",45,"btc",NA,NA,NA
"34","0xA82Ca5cC595B3a60206edE9715CDf42199583B52",40,"eth","0.43350235 ETH","$705.02",705.02
"35","16HDgC2HaEaNAE4CvQehzBsGjSrqd4D8YD",40,"btc","0.96512668 BTC","$26,075.28",26075.28
"36","3NEvHFGRXDBgeXKpUhs465R8Jis7ch37KX",40,"btc","0.00663731 BTC","$179.32",179.32
"37","1mUKD6aCXCPQfVA2ZqQ5JLFbkDqsH8b5",37,"btc",NA,NA,NA
"38","0x88FB5a0E3f8686fBEd02F4666730164f835E7ab1",36,"eth","0.00 ETH","$0.00",0
"39","0xacA453Ebd26DAf7FeF3ee862222ce5b3f2C69B65",36,"eth","3.07724404 ETH","$5,004.65",5004.65
"40","1NE1FdDPtrfXDnGZoQ76Y3Ly4DBhqruAvj",36,"btc","0.00000000 BTC","$0.00",0
"41","3PGp66s5ZbU462UakQKRBb3VKjwMvJxf8P",36,"btc","0.09488724 BTC","$2,563.61",2563.61
"42","3rPAoa4FreeVideoDocumentary",34,"btc",NA,NA,NA
"43","0x9D0F3c1C764806192b89376eccC4E03c3f9E7f0a",33,"eth","0.15 ETH","$243.87",243.87
"44","3MZnYSgt61E2rrx9CxQ5bhURLiFsidQZ5C",33,"btc",NA,NA,NA
"45","3QasxayQhb3TaneBNn8TDxE2gCZPxLaXsU",33,"btc","0.03658981 BTC","$988.56",988.56
"46","bc1qzgpe48halk2h3zh0hphjmq7c8am9vg6hfz4dn4",33,"btc","0.39106303 BTC","$10,565.53",10565.53
"47","3JfF8nnUp79Hg37YkAQEfM5FGiyrg6kpZ3",32,"btc","0.35765664 BTC","$9,662.98",9662.98
"48","bc1q7xfc7ppuw5jwz77sy29txy0efwqnpxw70swgy6",32,"btc","1.49552166 BTC","$40,405.21",40405.21
"49","bc1qpkmys07aj72dn73422f7t56lw36gu9zeazzfyd",32,"btc",NA,NA,NA
"50","12Fxo22h7sSow5j2ChdXK8jKEmZxkhyuVV",30,"btc",NA,NA,NA
"51","3BBe7nc16j3a7VPyrG9hL4avPfNHUCdG",29,"btc",NA,NA,NA
"52","bc1qh006gxs4q9sjql4j7yahs54504uthavtd63d9y",29,"btc","0.00119094 BTC","$32.18",32.18
"53","0x4046e64b1CDCb177b2ca5C8D1DDd6F0799669251",27,"eth","22.404058836723391615 ETH","$36,424.07",36424.07
"54","3D961v4EmAJJutbjeLi67g5jNZa1K22i",27,"btc",NA,NA,NA
"55","bc1q9m80vudsa3gxcwlafuw38fp6gqttva608hzw0e",27,"btc","2.01095581 BTC","$54,330.94",54330.94
"56","0x164563835236e92d2745638c379338643989d2b6",26,"eth","0.00 ETH","$0.00",0
"57","16vABHoPHpnow7BpjsC3gZW5YFcoaN2H7K",26,"btc","2.47279477 BTC","$66,808.66",66808.66
"58","3PQbRDSfHKh7zvaq2rp7RRE5Ddf4CaXYZb",26,"btc",NA,NA,NA
"59","3DFJN2HBcmgH5fyAE762ZqKa4JNq6Xwp",24,"btc",NA,NA,NA
"60","1MYWtsoPCNbQajCyeyiYq477MFELhnp5sR",23,"btc","1.32496956 BTC","$35,797.33",35797.33
"61","0x5FE112F31399EC039403944Adbc3d1255DA04Cb0",22,"eth","0.00 ETH","$0.00",0
"62","0xb0761906980390dae89f16177604b0844cc96aa3",22,"eth","0.382553297600262238 ETH","$621.95",621.95
"63","0xf83c492154c0bda38f7018dad0333713e2333793",22,"eth","0.00 ETH","$0.00",0
"64","1KeuUnGttETBok5N3vLceq72PXPw6wq4x",22,"btc","0.03095513 BTC","$836.33",836.33
"65","3DZTB4r2ZRNnpqHTHg71WNuyJyEvVpme",22,"btc",NA,NA,NA
"66","bc1qdj5cm8leqgzv24d0mwc7wgzcer2f5svgx7d4sq",22,"btc","0.00000000 BTC","$0.00",0
"67","bc1qy995lwm5my5p5qhps4a87pmdl05qqrmqv5mz0l",22,"btc",NA,"$7,841.51",7841.51
"68","0x670b681d8acca37d7e12c43f9d5114f4543e50ff",21,"eth","0.00 ETH","$0.00",0
"69","0x6A6AA13393B7d1100c00a57c76c39e8B6C835041",21,"eth","402.461833465368857313 ETH","$654,314",654314
"70","3fDCfxsUEUikyMdt4WSyFGo5u9dpJoHL",21,"btc",NA,NA,NA
"71","3Lp2YPkHBgFEr6nPoCnUtBw3ZEDazJcLrN",21,"btc","0.00000000 BTC","$0.00",0
"72","1316298e8d5245dd24b463bdd2f63172",20,"btc",NA,NA,NA
"73","3cd8ywefUHxyd5kWo3AU9yyADg2MiEKF",20,"btc",NA,NA,NA
"74","3ZZ244QPBNCZHP3Z5RWF52NHSM",20,"btc",NA,NA,NA
"75","0x0155aa89B0748B5740DB4BC561cAeF76d664C0BB",18,"eth","2.008315815574659219 ETH","$3,265.08",3265.08
"76","0x5cfb972182c1cdba3d02a161b65948941699b8e2",18,"eth","1.284524044544375306 ETH","$2,088.35",2088.35
"77","1D6KX4cAsVzuPL4YvUYcJQKUaBj9dLrWwj",18,"btc","0.21070543 BTC","$5,692.73",5692.73
"78","3Mq26ouX6QZAQcyyb79hjPjFcrgENBVBec",18,"btc","0.07624942 BTC","$2,060.77",2060.77
"79","0x2953399124f0cbb46d2cbacd8a89cf0599974963",17,"eth","21.504200403745498253 ETH","$34,961.10",34961.1
"80","1L6kxKa1utQQqN3Vpk9zSgDmWeUWU3JNS5",17,"btc",NA,NA,NA
"81","3FxRxaLGDjzk9GE7nYQ1cCdtHpxLC393dS",17,"btc","0.38624183 BTC","$10,434.69",10434.69
"82","3UafEJcKZxaPH76sxV1Gf6n3HrYHHCwk",17,"btc",NA,NA,NA
"83","bc1q34lfgege5aqdrx8zvj0w8qgx3llrukwqtakmv",17,"btc",NA,NA,NA
"84","bc1q34lfgege5aqdrx8zvj0w8qgx3llrukwqtakmv5",17,"btc","0.00254015 BTC","$68.62",68.62
"85","0x0De136b4Fa35ED6b7E4CF817AD6cea54C78D2601",16,"eth","12.947316842227235297 ETH","$21,049.49",21049.49
"86","0xa8d4c3aa7c6e44a4c414db03e9b03de99f82b3b0",16,"eth","7.823311358103289286 ETH","$12,718.98",12718.98
"87","bc1qrs3ghum50usftxfv80ur9j0d6xwrvvqxh05uy0",16,"btc","0.00055000 BTC","$14.86",14.86
"88","3NE6pxt9JLYuQkQ8qkseaiakX7vyQyn87r",15,"btc","3.04820256 BTC","$82,382.80",82382.8
"89","0xD0fA18905FA4048CD7dB2296Daa23053C5e55D46",14,"eth","1.000000000000000000 ETH","$1,626.77",1626.77
"90","33PrVUEmESWi4rZbzhfeDCsmfeJKUjYE",14,"btc",NA,NA,NA
"91","33YYRNqp2TxhYQNJyBJCyg2iDStPgo4o",14,"btc",NA,NA,NA
"92","38w4uSCXkV2bQeE4bXvJ1kRnLQSmXokVAd",14,"btc","0.05990487 BTC","$1,619.03",1619.03
"93","3TdJ5cNLAGLyA6M8YZKCQibQCETx3BvS",14,"btc",NA,NA,NA
"94","3vKxfx7QCarr3kFCaushiAaagQNNaa7g",14,"btc",NA,NA,NA
"95","0x9819E12F004cB60e1fB7D1dA908fDd7048b6852E",13,"eth","0.189749 ETH","$308.68",308.68
"96","0xeD7DE6fc346898C002f97A8EC5BF9Edf89d6c0d3",13,"eth","0.160160553552059896 ETH","$260.54",260.54
"97","1P5ZEDWTKTFGxQjZphgWPQUpe554WKDfHQ",13,"btc","241914.77607289 BTC","$6,538,153,240",6538153240
"98","32a7a9694c1f738eef6af6d3fc6e5aa1",13,"btc",NA,NA,NA
"99","bc1qy03d7ccga4ldazev5ty4klppjyn7kw9ckkqe4c",13,"btc","0.01178393 BTC","$318.48",318.48
"100","0xBc369c26Ab7f5cdC81E1759E15F390FC49859014",12,"eth","2.688668126166545668 ETH","$4,373.84",4373.84
"101","0xe0d3059817137ee8a850362f12b84ed3e5a742f3",12,"eth","0.053587135277891947 ETH","$87.12",87.12
"102","1FBNuUiFKTJCnKX7HK9Hoqsv72kjEbpdhY",12,"btc","0.26289717 BTC","$7,105.24",7105.24
"103","3aUFMj5tdZ9k8ZcDM9EHpfNQprSSViQ6",12,"btc",NA,NA,NA
"104","bc1qa33jtjdddasd7uf03mpfchthceqm7fetk6xrk8",12,"btc","0.05668613 BTC","$1,532.04",1532.04
"105","0x03077054A3D535fB9Aa9ec268AD4D0A2790D1b7e",11,"eth","0.02551922 ETH","$41.51",41.51
"106","1QGND9HGKTQM78VT7H3521J3DG",11,"btc",NA,NA,NA
"107","1YsAkMXkdEpTZTj9Pb28EKPr2fy2Rxgiw",11,"btc",NA,NA,NA
"108","318u8fCmbp8KcZgs31ZvSM9J8F9KytdS",11,"btc",NA,NA,NA
"109","36U4sexdtYZBvS5v7AZmVuaRTWuck7XM",11,"btc",NA,NA,NA
"110","39BGXxnqHERmpgD3bs3YQfQcbqQtTzkG",11,"btc",NA,NA,NA
"111","3A4hpRbBMrnWQd9kTe5N53AEDatonKpytp",11,"btc","0.00000000 BTC","$0.00",0
"112","3Rd7Db2gmAcBfX12KEyZAG9xa9faxLQB",11,"btc",NA,NA,NA
"113","0x40B7055A17a2b7A68EBdCc99e2A533826Dd3ab13",10,"eth","0.00 ETH","$0.00",0
"114","0x4eD2B632a17c6603aA34Fb344D495F46cdB6Fcc3",10,"eth","0.00 ETH","$0.00",0
"115","0xdC130Be0f4a45BC771E23e2e8076EBf9383d7fa3",10,"eth","2.082004131166208936 ETH","$3,386.98",3386.98
"116","1364cfa8744c4f99e7aa711f26342d9f",10,"btc",NA,NA,NA
"117","1d8af462424d818f96e88dc6ed115dc1",10,"btc",NA,NA,NA
"118","3EEmZzcF89Bd35JFUPebLadj4spYwmwVWk",10,"btc","0.00393551 BTC","$106.39",106.39
"119","3Pb481Lqx132XKSDSXFheNu7YHGBwY3K",10,"btc",NA,NA,NA
"120","bc1q27rwkdmpftujgsnqw8ey202p47w6sv2g0dghhg",10,"btc","0.04182325 BTC","$1,130.34",1130.34
"121","0x8e63a242acfa1c2984a02934c7295b0972fcad0c",9,"eth","0.536083122882426851 ETH","$872.08",872.08
"122","0xC636E142B68fCD4903dea494aE19c7FCF7C6908A",9,"eth","0.00 ETH","$0.00",0
"123","0xfbf194e32303aa8eb6438263c318828e514a779e",9,"eth","0.820013633435960697 ETH","$1,333.99",1333.99
"124","151MfuZ8LcQuo5sc3jUTUQeag3BARoHWUE",9,"btc","0.46989152 BTC","$12,702.68",12702.68
"125","16HDgC2HaEaNAE4CvQehzBsGjSrqd4D8yd",9,"btc",NA,NA,NA
"126","1BAkfVnRxpvQPdcgeS6y72uMUjk5GGuJSF",9,"btc","1.00745590 BTC","$27,234.77",27234.77
"127","1D1X2wa1Aj6PVbwe7ySKruRqWwUbYwjXDQ",9,"btc","0.00000000 BTC","$0.00",0
"128","31588e1313b2618647de62d963ef491a",9,"btc",NA,NA,NA
"129","3JM84PWvtvmypcurWArKJdmMm3kvAaAS3c",9,"btc","0.07206310 BTC","$1,948.10",1948.1
"130","3oXQKuZ7UiYWHDMcbgnuQKk14StfdguA",9,"btc",NA,NA,NA
"131","bc1qccjkpdglepa20suckvh8xmknt22g9pwjsqhtt0",9,"btc","0.00000000 BTC","$0.00",0
"132","bc1qtfh7vh9hv3thmp4q4pxt0qxhxnj76pgjxrg3gr",9,"btc","0.00001000 BTC","$0.27",0.27
"133","0x29Ec4e408a862EdaA95CA0002b6519dFd4848d95",8,"eth","0.068272433663102143 ETH","$111.06",111.06
"134","0x35a8c1306e042779c0e34c3521c3ddda0bda628a",8,"eth","0.00 ETH","$0.00",0
"135","0x746057E08C3bdACb92F88cE3Aa3D31c47280bEc7",8,"eth","10.856066480000327617 ETH","$17,660.54",17660.54
"136","0x7c22777260328b4163854ef629b205fe02bb80b2",8,"eth","0.00 ETH","$0.00",0
"137","0xa61A521f2F7929Cd6E82708d37c9Bf7fcCC88033",8,"eth","0.08283718 ETH","$134.76",134.76
"138","0xf0D78482140D4f80B8EDC46f2b5094345122C903",8,"eth","0.00 ETH","$0.00",0
"139","1197a15e58334dd3ada7285e283d33d4",8,"btc",NA,NA,NA
"140","11e651dbfba341838c44715b9f856b48",8,"btc",NA,NA,NA
