"","date","n"
"1",2016-06-29,1
"2",2016-08-09,1
"3",2017-04-12,1
"4",2017-05-15,1
"5",2017-07-14,1
"6",2017-09-19,2
"7",2017-11-01,1
"8",2017-12-20,1
"9",2017-12-29,2
"10",2017-12-30,1
"11",2018-01-17,1
"12",2018-01-19,1
"13",2018-02-24,1
"14",2018-04-14,1
"15",2018-04-28,1
"16",2018-05-11,1
"17",2018-08-22,1
"18",2018-09-03,1
"19",2018-09-20,1
"20",2018-09-28,1
"21",2018-10-28,1
"22",2018-10-30,1
"23",2018-11-17,1
"24",2018-11-18,1
"25",2018-12-19,1
"26",2019-01-01,1
"27",2019-01-12,1
"28",2019-02-10,1
"29",2019-02-25,1
"30",2019-02-27,1
"31",2019-03-07,1
"32",2019-03-11,1
"33",2019-03-18,1
"34",2019-03-27,3
"35",2019-04-09,1
"36",2019-04-12,4
"37",2019-05-12,1
"38",2019-05-14,1
"39",2019-05-21,1
"40",2019-05-24,1
"41",2019-06-05,1
"42",2019-06-06,1
"43",2019-06-18,1
"44",2019-06-24,1
"45",2019-06-25,2
"46",2019-06-26,1
"47",2019-06-27,1
"48",2019-07-14,1
"49",2019-07-15,1
"50",2019-08-09,3
"51",2019-08-18,1
"52",2019-08-24,1
"53",2019-08-28,1
"54",2019-09-06,2
"55",2019-09-08,1
"56",2019-09-09,2
"57",2019-09-12,2
"58",2019-09-23,2
"59",2019-09-25,1
"60",2019-09-26,2
"61",2019-10-07,1
"62",2019-10-29,2
"63",2019-11-03,1
"64",2019-11-08,1
"65",2019-11-10,1
"66",2019-11-11,1
"67",2019-11-25,3
"68",2019-11-28,1
"69",2019-11-29,1
"70",2019-12-08,1
"71",2019-12-17,1
"72",2019-12-23,1
"73",2019-12-25,1
"74",2020-01-09,1
"75",2020-01-11,1
"76",2020-01-20,1
"77",2020-01-21,1
"78",2020-01-24,1
"79",2020-01-26,1
"80",2020-01-27,1
"81",2020-01-28,1
"82",2020-01-31,1
"83",2020-02-05,1
"84",2020-02-06,1
"85",2020-02-14,1
"86",2020-02-22,1
"87",2020-02-24,1
"88",2020-02-25,1
"89",2020-02-26,1
"90",2020-02-27,1
"91",2020-03-08,1
"92",2020-03-22,1
"93",2020-03-25,1
"94",2020-03-26,2
"95",2020-04-03,1
"96",2020-04-04,1
"97",2020-04-05,1
"98",2020-04-06,3
"99",2020-04-10,1
"100",2020-04-11,2
"101",2020-04-15,3
"102",2020-04-25,1
"103",2020-04-27,1
"104",2020-05-04,1
"105",2020-05-07,1
"106",2020-05-13,2
"107",2020-05-15,1
"108",2020-05-17,3
"109",2020-05-20,1
"110",2020-05-21,1
"111",2020-05-22,2
"112",2020-05-24,3
"113",2020-05-25,2
"114",2020-05-27,2
