"","X","date","detected_language","topic","n"
"157",233,2020-12-08,"French","Insect Food",3
"158",234,2020-12-08,"French","ULEZ",1
"159",235,2020-12-09,"German","ULEZ",1
"160",236,2020-12-10,"German","Insect Food",1
"161",237,2020-12-10,"German","ULEZ",1
"162",238,2020-12-10,"French","Insect Food",1
"163",239,2020-12-11,"German","ULEZ",3
"164",240,2020-12-13,"French","Insect Food",1
"165",241,2020-12-14,"English","ULEZ",1
"166",242,2020-12-14,"French","Insect Food",1
"167",243,2020-12-18,"German","ULEZ",1
"168",244,2020-12-21,"French","ULEZ",1
"169",245,2020-12-23,"French","ULEZ",4
"170",246,2020-12-25,"German","ULEZ",1
"171",247,2020-12-26,"German","ULEZ",1
"172",248,2020-12-27,"German","ULEZ",1
"173",249,2020-12-28,"German","Climate Lockdown",2
"174",250,2020-12-29,"German","Climate Lockdown",4
"175",251,2020-12-31,"German","Climate Lockdown",2
"176",252,2021-01-01,"German","Climate Lockdown",1
"177",253,2021-01-01,"English","Insect Food",1
"178",254,2021-01-02,"German","Climate Lockdown",2
"179",255,2021-01-02,"French","ULEZ",1
"180",256,2021-01-03,"German","Climate Lockdown",1
"181",257,2021-01-03,"German","Insect Food",1
"182",258,2021-01-04,"German","Climate Lockdown",21
"183",259,2021-01-04,"German","Insect Food",1
"184",260,2021-01-04,"German","ULEZ",1
"185",261,2021-01-05,"German","Climate Lockdown",17
"186",262,2021-01-05,"English","Climate Lockdown",1
"187",263,2021-01-06,"English","Insect Food",1
"188",264,2021-01-07,"German","Insect Food",1
"189",265,2021-01-08,"German","Insect Food",1
"190",266,2021-01-08,"German","ULEZ",3
"191",267,2021-01-10,"English","ULEZ",1
"192",268,2021-01-11,"German","Insect Food",3
"193",269,2021-01-11,"English","ULEZ",1
"194",270,2021-01-11,"Italian","Insect Food",1
"195",271,2021-01-12,"English","Insect Food",1
"196",272,2021-01-13,"English","Insect Food",1
"197",273,2021-01-13,"English","ULEZ",1
"198",274,2021-01-14,"German","Insect Food",4
"199",275,2021-01-14,"English","Climate Lockdown",1
"200",276,2021-01-14,"English","Insect Food",1
"201",277,2021-01-14,"English","ULEZ",1
"202",278,2021-01-14,"Italian","Insect Food",2
"203",279,2021-01-14,"Dutch","Insect Food",1
"204",280,2021-01-15,"German","Insect Food",6
"205",281,2021-01-15,"German","ULEZ",6
"206",282,2021-01-15,"English","Insect Food",4
"207",283,2021-01-15,"English","ULEZ",1
"208",284,2021-01-15,"Italian","Insect Food",3
"209",285,2021-01-16,"German","Climate Lockdown",2
"210",286,2021-01-16,"German","ULEZ",2
"211",287,2021-01-17,"German","Climate Lockdown",2
"212",288,2021-01-17,"English","Insect Food",1
"213",289,2021-01-17,"French","Insect Food",1
"214",290,2021-01-17,"French","ULEZ",2
"215",291,2021-01-18,"German","ULEZ",6
"216",292,2021-01-18,"English","Insect Food",7
"217",293,2021-01-18,"French","ULEZ",1
"218",294,2021-01-19,"German","ULEZ",1
"219",295,2021-01-19,"Italian","Insect Food",1
"220",296,2021-01-19,"Italian","ULEZ",1
"221",297,2021-01-20,"German","ULEZ",2
"222",298,2021-01-21,"German","Insect Food",1
"223",299,2021-01-23,"German","Insect Food",1
"224",300,2021-01-23,"English","Insect Food",1
"225",301,2021-01-24,"German","Climate Lockdown",1
"226",302,2021-01-24,"English","Insect Food",1
"227",303,2021-01-25,"German","Insect Food",1
"228",304,2021-01-25,"German","ULEZ",1
"229",305,2021-01-25,"Italian","ULEZ",1
"230",306,2021-01-26,"German","Insect Food",3
"231",307,2021-01-27,"German","Climate Lockdown",5
"232",308,2021-01-28,"German","Climate Lockdown",1
"233",309,2021-01-28,"German","Insect Food",1
"234",310,2021-01-29,"German","Insect Food",1
"235",311,2021-01-29,"Italian","Insect Food",3
"236",312,2021-01-30,"German","Climate Lockdown",1
"237",313,2021-01-30,"German","Insect Food",3
"238",314,2021-01-31,"French","ULEZ",1
"239",315,2021-02-02,"German","Climate Lockdown",3
"240",316,2021-02-02,"French","Insect Food",1
"241",317,2021-02-03,"German","Climate Lockdown",1
"242",318,2021-02-03,"German","Insect Food",1
"243",319,2021-02-03,"English","ULEZ",1
"244",320,2021-02-04,"German","Climate Lockdown",1
"245",321,2021-02-04,"German","Insect Food",2
"246",322,2021-02-05,"German","Climate Lockdown",1
"247",323,2021-02-05,"English","Climate Lockdown",1
"248",324,2021-02-05,"English","ULEZ",3
"249",325,2021-02-06,"German","ULEZ",4
"250",326,2021-02-06,"English","ULEZ",1
"251",327,2021-02-07,"German","Insect Food",7
"252",328,2021-02-07,"German","ULEZ",4
"253",329,2021-02-07,"English","Climate Lockdown",2
"254",330,2021-02-07,"English","Insect Food",1
"255",331,2021-02-07,"English","ULEZ",1
"256",332,2021-02-08,"German","Insect Food",3
"257",333,2021-02-08,"German","ULEZ",2
"258",334,2021-02-08,"English","Insect Food",2
"259",335,2021-02-08,"English","ULEZ",1
"260",336,2021-02-08,"Italian","ULEZ",2
"261",337,2021-02-09,"German","ULEZ",3
"262",338,2021-02-09,"English","Climate Lockdown",1
"263",339,2021-02-09,"English","Insect Food",1
"264",340,2021-02-10,"German","ULEZ",3
"265",341,2021-02-10,"English","Climate Lockdown",6
"266",342,2021-02-10,"Italian","Insect Food",1
"267",343,2021-02-11,"German","Climate Lockdown",2
"268",344,2021-02-11,"English","Climate Lockdown",4
"269",345,2021-02-11,"English","Insect Food",1
"270",346,2021-02-13,"German","Climate Lockdown",1
"271",347,2021-02-13,"German","ULEZ",1
"272",348,2021-02-13,"English","ULEZ",1
"273",349,2021-02-13,"Italian","Insect Food",1
"274",350,2021-02-14,"English","ULEZ",1
"275",351,2021-02-15,"French","Insect Food",1
"276",352,2021-02-16,"English","ULEZ",1
"277",353,2021-02-16,"Italian","Insect Food",2
"278",354,2021-02-18,"German","Insect Food",1
"279",355,2021-02-18,"Italian","Insect Food",1
"280",356,2021-02-19,"German","Climate Lockdown",1
"281",357,2021-02-19,"English","Climate Lockdown",2
"282",358,2021-02-19,"English","ULEZ",2
"283",359,2021-02-20,"German","Insect Food",1
"284",360,2021-02-20,"German","ULEZ",2
"285",361,2021-02-20,"English","Climate Lockdown",2
"286",362,2021-02-20,"French","Climate Lockdown",1
"287",363,2021-02-20,"Italian","Insect Food",1
"288",364,2021-02-21,"German","Climate Lockdown",1
"289",365,2021-02-21,"Italian","Insect Food",1
"290",366,2021-02-22,"English","Climate Lockdown",1
"291",367,2021-02-23,"German","ULEZ",3
"292",368,2021-02-23,"English","Climate Lockdown",1
"293",369,2021-02-23,"Italian","ULEZ",1
"294",370,2021-02-24,"Italian","Insect Food",1
"295",371,2021-02-25,"German","Insect Food",1
"296",372,2021-02-25,"English","ULEZ",1
"297",373,2021-02-26,"German","Insect Food",1
"298",374,2021-02-26,"English","ULEZ",1
"299",375,2021-02-27,"German","Climate Lockdown",1
"300",376,2021-02-27,"French","Insect Food",1
"301",377,2021-02-27,"Italian","Insect Food",1
"302",378,2021-02-28,"German","Climate Lockdown",1
"303",379,2021-02-28,"French","Insect Food",1
"304",380,2021-03-03,"English","ULEZ",2
"305",381,2021-03-04,"German","Insect Food",4
"306",382,2021-03-04,"English","Climate Lockdown",3
"307",383,2021-03-04,"Italian","Climate Lockdown",1
"308",384,2021-03-05,"German","ULEZ",1
"309",385,2021-03-06,"German","Climate Lockdown",2
"310",386,2021-03-06,"German","Insect Food",1
"311",387,2021-03-06,"English","Insect Food",2
"312",388,2021-03-07,"German","Climate Lockdown",3
"313",389,2021-03-07,"German","ULEZ",5
"314",390,2021-03-07,"English","Climate Lockdown",1
"315",391,2021-03-07,"English","ULEZ",2
"316",392,2021-03-08,"German","Climate Lockdown",16
"317",393,2021-03-08,"German","Insect Food",1
"318",394,2021-03-08,"German","ULEZ",6
"319",395,2021-03-08,"English","ULEZ",3
"320",396,2021-03-09,"German","Climate Lockdown",2
"321",397,2021-03-09,"French","ULEZ",2
"322",398,2021-03-09,"Italian","Insect Food",1
"323",399,2021-03-10,"German","Climate Lockdown",1
"324",400,2021-03-10,"German","ULEZ",1
"325",401,2021-03-10,"English","ULEZ",1
"326",402,2021-03-11,"German","ULEZ",3
"327",403,2021-03-12,"German","Climate Lockdown",6
"328",404,2021-03-12,"German","Insect Food",3
"329",405,2021-03-13,"German","Insect Food",4
"330",406,2021-03-13,"English","Insect Food",3
"331",407,2021-03-14,"German","Climate Lockdown",1
"332",408,2021-03-14,"German","Insect Food",21
"333",409,2021-03-14,"German","ULEZ",3
"334",410,2021-03-14,"English","Insect Food",5
"335",411,2021-03-14,"Italian","Insect Food",1
"336",412,2021-03-15,"German","Climate Lockdown",3
"337",413,2021-03-15,"German","Insect Food",9
"338",414,2021-03-15,"Italian","Insect Food",1
"339",415,2021-03-16,"German","Climate Lockdown",7
"340",416,2021-03-16,"German","Insect Food",3
"341",417,2021-03-17,"German","Climate Lockdown",17
"342",418,2021-03-17,"German","Insect Food",3
"343",419,2021-03-17,"French","Climate Lockdown",1
"344",420,2021-03-18,"German","Climate Lockdown",8
"345",421,2021-03-18,"English","Insect Food",2
"346",422,2021-03-19,"German","Climate Lockdown",2
"347",423,2021-03-19,"German","Insect Food",1
"348",424,2021-03-19,"French","Insect Food",1
"349",425,2021-03-21,"German","Insect Food",1
"350",426,2021-03-22,"German","Insect Food",1
"351",427,2021-03-23,"German","Insect Food",2
"352",428,2021-03-23,"English","Insect Food",1
"353",429,2021-03-24,"German","Climate Lockdown",10
"354",430,2021-03-24,"English","Climate Lockdown",1
"355",431,2021-03-24,"English","ULEZ",2
"356",432,2021-03-25,"German","Insect Food",6
"357",433,2021-03-26,"German","Climate Lockdown",3
"358",434,2021-03-27,"German","Climate Lockdown",1
"359",435,2021-03-27,"German","ULEZ",1
"360",436,2021-03-27,"English","Insect Food",1
"361",437,2021-03-28,"German","Climate Lockdown",9
"362",438,2021-03-28,"English","Climate Lockdown",1
"363",439,2021-03-28,"English","Insect Food",1
"364",440,2021-03-29,"German","Climate Lockdown",3
"365",441,2021-03-29,"German","Insect Food",3
"366",442,2021-03-29,"English","ULEZ",1
"367",443,2021-03-29,"Dutch","Climate Lockdown",1
"368",444,2021-03-30,"German","ULEZ",2
"369",445,2021-03-30,"English","ULEZ",2
"370",446,2021-03-30,"Italian","Insect Food",3
"371",447,2021-03-30,"Dutch","ULEZ",2
"372",448,2021-03-31,"German","Climate Lockdown",1
"373",449,2021-03-31,"German","Insect Food",1
"374",450,2021-03-31,"German","ULEZ",1
"375",451,2021-03-31,"English","Insect Food",1
"376",452,2021-04-02,"German","ULEZ",3
"377",453,2021-04-02,"English","Climate Lockdown",1
"378",454,2021-04-02,"Italian","Insect Food",1
"379",455,2021-04-03,"English","ULEZ",1
"380",456,2021-04-04,"German","Climate Lockdown",1
"381",457,2021-04-04,"German","Insect Food",1
"382",458,2021-04-04,"English","ULEZ",2
"383",459,2021-04-05,"German","Climate Lockdown",3
"384",460,2021-04-05,"English","Insect Food",1
"385",461,2021-04-05,"Dutch","Climate Lockdown",1
"386",462,2021-04-06,"German","Climate Lockdown",2
"387",463,2021-04-06,"English","Climate Lockdown",1
"388",464,2021-04-06,"English","ULEZ",1
"389",465,2021-04-06,"Italian","Insect Food",1
"390",466,2021-04-07,"English","Insect Food",1
"391",467,2021-04-07,"Italian","Insect Food",1
"392",468,2021-04-09,"English","Insect Food",1
"393",469,2021-04-10,"English","Insect Food",1
"394",470,2021-04-11,"English","Insect Food",1
"395",471,2021-04-11,"Italian","Insect Food",1
"396",472,2021-04-12,"German","ULEZ",1
"397",473,2021-04-13,"German","Insect Food",3
"398",474,2021-04-13,"English","Insect Food",1
"399",475,2021-04-13,"French","ULEZ",1
"400",476,2021-04-14,"German","Climate Lockdown",45
"401",477,2021-04-15,"German","Climate Lockdown",5
"402",478,2021-04-15,"English","Insect Food",1
"403",479,2021-04-16,"German","Climate Lockdown",1
"404",480,2021-04-16,"Italian","Climate Lockdown",2
"405",481,2021-04-16,"Italian","Insect Food",1
"406",482,2021-04-17,"German","Climate Lockdown",3
"407",483,2021-04-18,"German","Climate Lockdown",3
"408",484,2021-04-18,"English","Insect Food",1
"409",485,2021-04-18,"Italian","Climate Lockdown",1
"410",486,2021-04-18,"Italian","Insect Food",1
"411",487,2021-04-19,"German","Insect Food",1
"412",488,2021-04-19,"Italian","Climate Lockdown",2
"413",489,2021-04-20,"German","Climate Lockdown",7
"414",490,2021-04-20,"German","Insect Food",1
"415",491,2021-04-20,"English","Insect Food",1
"416",492,2021-04-20,"Dutch","Climate Lockdown",3
"417",493,2021-04-21,"German","Climate Lockdown",3
"418",494,2021-04-21,"English","ULEZ",1
"419",495,2021-04-21,"French","ULEZ",1
"420",496,2021-04-21,"Italian","Insect Food",1
"421",497,2021-04-22,"German","Climate Lockdown",7
"422",498,2021-04-22,"English","ULEZ",1
"423",499,2021-04-22,"Italian","Insect Food",2
"424",500,2021-04-23,"German","Climate Lockdown",13
"425",501,2021-04-23,"German","Insect Food",2
"426",502,2021-04-23,"English","Climate Lockdown",1
"427",503,2021-04-23,"French","ULEZ",1
"428",504,2021-04-24,"German","Climate Lockdown",1
"429",505,2021-04-24,"German","ULEZ",1
"430",506,2021-04-24,"English","Insect Food",3
"431",507,2021-04-24,"English","ULEZ",2
"432",508,2021-04-24,"French","ULEZ",1
"433",509,2021-04-25,"German","Climate Lockdown",2
"434",510,2021-04-25,"German","ULEZ",4
"435",511,2021-04-25,"English","Climate Lockdown",1
"436",512,2021-04-25,"English","ULEZ",2
"437",513,2021-04-25,"French","Climate Lockdown",1
"438",514,2021-04-25,"French","ULEZ",2
"439",515,2021-04-25,"Italian","Insect Food",2
"440",516,2021-04-26,"German","Climate Lockdown",1
"441",517,2021-04-26,"German","ULEZ",10
"442",518,2021-04-27,"German","Climate Lockdown",9
"443",519,2021-04-27,"German","Insect Food",2
"444",520,2021-04-27,"German","ULEZ",7
"445",521,2021-04-27,"English","Climate Lockdown",1
"446",522,2021-04-27,"English","ULEZ",1
"447",523,2021-04-27,"Italian","Insect Food",1
"448",524,2021-04-27,"Italian","ULEZ",2
"449",525,2021-04-27,"Dutch","Insect Food",1
"450",526,2021-04-28,"German","Insect Food",3
"451",527,2021-04-28,"German","ULEZ",3
"452",528,2021-04-28,"English","Insect Food",1
"453",529,2021-04-28,"English","ULEZ",3
"454",530,2021-04-28,"French","Insect Food",2
"455",531,2021-04-29,"German","Climate Lockdown",42
"456",532,2021-04-29,"German","Insect Food",1
"457",533,2021-04-29,"English","Climate Lockdown",2
"458",534,2021-04-29,"English","ULEZ",1
"459",535,2021-04-29,"French","Insect Food",2
"460",536,2021-04-29,"Italian","ULEZ",1
"461",537,2021-04-30,"German","Climate Lockdown",20
"462",538,2021-04-30,"German","Insect Food",1
"463",539,2021-04-30,"German","ULEZ",5
"464",540,2021-04-30,"English","ULEZ",3
"465",541,2021-05-01,"German","Climate Lockdown",20
"466",542,2021-05-01,"German","ULEZ",34
"467",543,2021-05-01,"English","ULEZ",1
"468",544,2021-05-01,"Italian","ULEZ",2
"469",545,2021-05-01,"Dutch","Insect Food",1
"470",546,2021-05-02,"German","Climate Lockdown",6
"471",547,2021-05-02,"German","Insect Food",1
"472",548,2021-05-02,"German","ULEZ",17
"473",549,2021-05-02,"English","ULEZ",1
"474",550,2021-05-03,"German","Climate Lockdown",6
"475",551,2021-05-03,"German","Insect Food",1
"476",552,2021-05-03,"German","ULEZ",4
"477",553,2021-05-03,"Dutch","ULEZ",1
"478",554,2021-05-04,"German","Climate Lockdown",40
"479",555,2021-05-04,"German","Insect Food",5
"480",556,2021-05-04,"German","ULEZ",3
"481",557,2021-05-04,"English","Insect Food",4
"482",558,2021-05-04,"French","Insect Food",1
"483",559,2021-05-04,"French","ULEZ",1
"484",560,2021-05-04,"Italian","Insect Food",2
"485",561,2021-05-05,"German","Climate Lockdown",18
"486",562,2021-05-05,"German","Insect Food",4
"487",563,2021-05-05,"German","ULEZ",3
"488",564,2021-05-05,"English","Insect Food",3
"489",565,2021-05-05,"English","ULEZ",3
"490",566,2021-05-05,"French","Insect Food",2
"491",567,2021-05-05,"Italian","Insect Food",4
"492",568,2021-05-05,"Dutch","Climate Lockdown",1
"493",569,2021-05-06,"German","Climate Lockdown",4
"494",570,2021-05-06,"English","Insect Food",1
"495",571,2021-05-07,"German","Climate Lockdown",6
"496",572,2021-05-07,"German","Insect Food",6
"497",573,2021-05-07,"German","ULEZ",4
"498",574,2021-05-07,"English","Insect Food",2
"499",575,2021-05-07,"English","ULEZ",3
"500",576,2021-05-07,"Italian","Insect Food",1
"501",577,2021-05-08,"German","Climate Lockdown",1
"502",578,2021-05-08,"German","Insect Food",5
"503",579,2021-05-08,"German","ULEZ",2
"504",580,2021-05-08,"English","Climate Lockdown",1
"505",581,2021-05-08,"English","Insect Food",2
"506",582,2021-05-09,"German","Climate Lockdown",3
"507",583,2021-05-09,"German","Insect Food",5
"508",584,2021-05-09,"English","Insect Food",3
"509",585,2021-05-09,"Italian","Insect Food",1
"510",586,2021-05-10,"German","Climate Lockdown",2
"511",587,2021-05-10,"German","Insect Food",5
"512",588,2021-05-10,"English","Insect Food",2
"513",589,2021-05-10,"English","ULEZ",6
"514",590,2021-05-10,"Italian","Insect Food",5
"515",591,2021-05-11,"German","Climate Lockdown",3
"516",592,2021-05-11,"German","Insect Food",4
"517",593,2021-05-11,"German","ULEZ",1
"518",594,2021-05-11,"English","Insect Food",1
"519",595,2021-05-11,"English","ULEZ",4
"520",596,2021-05-12,"German","Climate Lockdown",17
"521",597,2021-05-12,"German","ULEZ",1
"522",598,2021-05-12,"English","Insect Food",1
"523",599,2021-05-12,"French","Insect Food",1
"524",600,2021-05-12,"Italian","Climate Lockdown",1
"525",601,2021-05-12,"Italian","Insect Food",1
"526",602,2021-05-13,"German","Climate Lockdown",5
"527",603,2021-05-13,"German","ULEZ",2
"528",604,2021-05-13,"English","Climate Lockdown",1
"529",605,2021-05-13,"English","Insect Food",1
"530",606,2021-05-13,"French","Insect Food",2
"531",607,2021-05-13,"Italian","Climate Lockdown",1
"532",608,2021-05-13,"Italian","Insect Food",1
"533",609,2021-05-13,"Italian","ULEZ",1
"534",610,2021-05-14,"German","Climate Lockdown",15
"535",611,2021-05-14,"German","Insect Food",3
"536",612,2021-05-14,"English","Insect Food",2
"537",613,2021-05-14,"English","ULEZ",1
"538",614,2021-05-14,"Italian","Insect Food",2
"539",615,2021-05-15,"German","Climate Lockdown",8
"540",616,2021-05-15,"German","ULEZ",2
"541",617,2021-05-15,"Italian","Insect Food",1
"542",618,2021-05-15,"Italian","ULEZ",1
"543",619,2021-05-16,"German","Climate Lockdown",15
"544",620,2021-05-16,"English","Insect Food",1
"545",621,2021-05-16,"English","ULEZ",1
"546",622,2021-05-16,"Italian","Insect Food",1
"547",623,2021-05-17,"German","Climate Lockdown",6
"548",624,2021-05-17,"English","Insect Food",1
"549",625,2021-05-17,"English","ULEZ",1
"550",626,2021-05-17,"Italian","Insect Food",6
"551",627,2021-05-17,"Dutch","Climate Lockdown",1
"552",628,2021-05-18,"German","Climate Lockdown",8
"553",629,2021-05-18,"German","ULEZ",1
"554",630,2021-05-18,"English","Climate Lockdown",1
"555",631,2021-05-18,"Italian","ULEZ",1
"556",632,2021-05-19,"German","Climate Lockdown",6
"557",633,2021-05-19,"German","Insect Food",1
"558",634,2021-05-19,"German","ULEZ",1
"559",635,2021-05-19,"English","Insect Food",1
"560",636,2021-05-19,"English","ULEZ",5
"561",637,2021-05-19,"Italian","Insect Food",2
"562",638,2021-05-20,"German","Climate Lockdown",85
"563",639,2021-05-20,"German","ULEZ",3
"564",640,2021-05-20,"English","Climate Lockdown",2
"565",641,2021-05-20,"English","Insect Food",1
"566",642,2021-05-21,"German","Climate Lockdown",34
"567",643,2021-05-21,"English","Climate Lockdown",2
"568",644,2021-05-22,"German","Climate Lockdown",15
"569",645,2021-05-22,"German","Insect Food",1
"570",646,2021-05-22,"English","Insect Food",2
"571",647,2021-05-22,"English","ULEZ",1
"572",648,2021-05-23,"German","Climate Lockdown",19
"573",649,2021-05-23,"German","ULEZ",5
"574",650,2021-05-23,"English","Insect Food",2
"575",651,2021-05-23,"Italian","Insect Food",1
"576",652,2021-05-23,"Italian","ULEZ",4
"577",653,2021-05-24,"German","Climate Lockdown",10
"578",654,2021-05-24,"German","Insect Food",1
"579",655,2021-05-24,"German","ULEZ",6
"580",656,2021-05-24,"English","Insect Food",1
