"","X","date","detected_language","topic","n"
"1",77,2020-01-09,"German","ULEZ",1
"2",78,2020-01-11,"Italian","Insect Food",1
"3",79,2020-01-20,"Italian","Insect Food",1
"4",80,2020-01-21,"English","ULEZ",1
"5",81,2020-01-24,"English","ULEZ",1
"6",82,2020-01-26,"German","ULEZ",1
"7",83,2020-01-27,"German","ULEZ",1
"8",84,2020-01-28,"German","Insect Food",1
"9",85,2020-01-31,"Italian","ULEZ",1
"10",86,2020-02-05,"German","Insect Food",1
"11",87,2020-02-06,"Italian","Insect Food",1
"12",88,2020-02-14,"German","ULEZ",1
"13",89,2020-02-22,"Italian","ULEZ",1
"14",90,2020-02-24,"German","Insect Food",1
"15",91,2020-02-25,"Italian","ULEZ",1
"16",92,2020-02-26,"German","ULEZ",1
"17",93,2020-02-27,"German","Insect Food",1
"18",94,2020-03-08,"Italian","ULEZ",1
"19",95,2020-03-22,"German","ULEZ",1
"20",96,2020-03-25,"German","Insect Food",1
"21",97,2020-03-26,"German","ULEZ",2
"22",98,2020-04-03,"English","Insect Food",1
"23",99,2020-04-04,"Italian","Insect Food",1
"24",100,2020-04-05,"Italian","Insect Food",1
"25",101,2020-04-06,"English","Insect Food",3
"26",102,2020-04-10,"Italian","Insect Food",1
"27",103,2020-04-11,"German","ULEZ",2
"28",104,2020-04-15,"German","ULEZ",2
"29",105,2020-04-15,"Italian","Insect Food",1
"30",106,2020-04-25,"Italian","ULEZ",1
"31",107,2020-04-27,"German","Insect Food",1
"32",108,2020-05-04,"German","ULEZ",1
"33",109,2020-05-07,"Italian","ULEZ",1
"34",110,2020-05-13,"German","ULEZ",1
"35",111,2020-05-13,"English","ULEZ",1
"36",112,2020-05-15,"English","ULEZ",1
"37",113,2020-05-17,"German","Insect Food",2
"38",114,2020-05-17,"German","ULEZ",1
"39",115,2020-05-20,"English","ULEZ",1
"40",116,2020-05-21,"English","ULEZ",1
"41",117,2020-05-22,"Italian","Insect Food",1
"42",118,2020-05-22,"Italian","ULEZ",1
"43",119,2020-05-24,"German","ULEZ",2
"44",120,2020-05-24,"English","ULEZ",1
"45",121,2020-05-25,"German","ULEZ",2
"46",122,2020-05-27,"German","Insect Food",2
"47",123,2020-05-28,"German","ULEZ",1
"48",124,2020-06-01,"Italian","Insect Food",3
"49",125,2020-06-13,"German","Insect Food",1
"50",126,2020-06-13,"English","ULEZ",1
"51",127,2020-06-23,"German","ULEZ",1
"52",128,2020-06-26,"Italian","Insect Food",1
"53",129,2020-06-27,"German","Insect Food",1
"54",130,2020-06-27,"German","ULEZ",3
"55",131,2020-06-30,"German","Insect Food",6
"56",132,2020-06-30,"French","ULEZ",1
"57",133,2020-07-01,"German","Insect Food",2
"58",134,2020-07-05,"German","Insect Food",3
"59",135,2020-07-06,"German","Insect Food",1
"60",136,2020-07-06,"German","ULEZ",1
"61",137,2020-07-07,"German","Insect Food",1
"62",138,2020-07-08,"German","ULEZ",1
"63",139,2020-07-08,"English","Insect Food",1
"64",140,2020-07-09,"English","ULEZ",1
"65",141,2020-07-11,"German","ULEZ",1
"66",142,2020-07-13,"Italian","ULEZ",1
"67",143,2020-07-14,"Italian","Insect Food",1
"68",144,2020-07-15,"German","Insect Food",3
"69",145,2020-07-24,"German","Insect Food",1
"70",146,2020-07-24,"German","ULEZ",1
"71",147,2020-07-25,"German","Insect Food",3
"72",148,2020-07-25,"German","ULEZ",1
"73",149,2020-07-26,"English","ULEZ",1
"74",150,2020-07-29,"German","ULEZ",1
"75",151,2020-07-29,"English","ULEZ",2
"76",152,2020-07-30,"German","ULEZ",1
"77",153,2020-08-04,"English","ULEZ",1
"78",154,2020-08-07,"German","Insect Food",1
"79",155,2020-08-13,"German","Insect Food",1
"80",156,2020-08-13,"English","ULEZ",1
"81",157,2020-08-15,"English","Insect Food",1
"82",158,2020-08-15,"English","ULEZ",1
"83",159,2020-08-20,"Italian","Insect Food",1
"84",160,2020-08-21,"Italian","ULEZ",1
"85",161,2020-08-22,"Italian","ULEZ",1
"86",162,2020-08-24,"German","ULEZ",1
"87",163,2020-08-25,"English","ULEZ",1
"88",164,2020-08-27,"English","ULEZ",2
"89",165,2020-08-27,"Italian","Insect Food",1
"90",166,2020-08-31,"English","Insect Food",1
"91",167,2020-09-02,"German","ULEZ",1
"92",168,2020-09-02,"English","Insect Food",1
"93",169,2020-09-07,"German","Insect Food",4
"94",170,2020-09-07,"English","Insect Food",1
"95",171,2020-09-07,"Italian","Insect Food",1
"96",172,2020-09-08,"German","ULEZ",1
"97",173,2020-09-10,"German","Insect Food",1
"98",174,2020-09-10,"English","ULEZ",1
"99",175,2020-09-15,"English","Insect Food",1
"100",176,2020-09-15,"English","ULEZ",1
"101",177,2020-09-15,"Italian","ULEZ",1
"102",178,2020-09-21,"English","Insect Food",1
"103",179,2020-09-22,"German","Insect Food",1
"104",180,2020-09-25,"English","Climate Lockdown",1
"105",181,2020-09-26,"English","Climate Lockdown",1
"106",182,2020-09-26,"Italian","Climate Lockdown",1
"107",183,2020-09-26,"Italian","ULEZ",2
"108",184,2020-09-27,"English","Insect Food",2
"109",185,2020-09-27,"French","ULEZ",1
"110",186,2020-09-28,"German","ULEZ",1
"111",187,2020-09-28,"Italian","Climate Lockdown",3
"112",188,2020-09-29,"Italian","Climate Lockdown",1
"113",189,2020-09-30,"Italian","Climate Lockdown",1
"114",190,2020-10-04,"Italian","Insect Food",1
"115",191,2020-10-05,"English","ULEZ",1
"116",192,2020-10-05,"Italian","Insect Food",1
"117",193,2020-10-07,"German","ULEZ",1
"118",194,2020-10-07,"English","ULEZ",1
"119",195,2020-10-08,"German","ULEZ",2
"120",196,2020-10-10,"English","Insect Food",1
"121",197,2020-10-12,"English","ULEZ",1
"122",198,2020-10-13,"English","ULEZ",1
"123",199,2020-10-14,"German","ULEZ",1
"124",200,2020-10-19,"German","ULEZ",2
"125",201,2020-10-23,"German","ULEZ",3
"126",202,2020-10-24,"Italian","ULEZ",1
"127",203,2020-10-27,"English","ULEZ",1
"128",204,2020-10-27,"Italian","Insect Food",1
"129",205,2020-10-28,"German","ULEZ",1
"130",206,2020-10-28,"English","ULEZ",1
"131",207,2020-10-30,"Italian","Insect Food",2
"132",208,2020-10-31,"Italian","ULEZ",1
"133",209,2020-11-01,"English","Insect Food",1
"134",210,2020-11-04,"German","ULEZ",1
"135",211,2020-11-09,"German","ULEZ",1
"136",212,2020-11-09,"English","Insect Food",1
"137",213,2020-11-09,"Italian","Insect Food",1
"138",214,2020-11-12,"English","Insect Food",2
"139",215,2020-11-12,"Italian","ULEZ",1
"140",216,2020-11-14,"English","ULEZ",1
"141",217,2020-11-14,"French","ULEZ",1
"142",218,2020-11-16,"English","Climate Lockdown",1
"143",219,2020-11-19,"German","Insect Food",1
"144",220,2020-11-20,"German","ULEZ",1
"145",221,2020-11-21,"German","ULEZ",2
"146",222,2020-11-21,"French","Insect Food",1
"147",223,2020-11-23,"German","ULEZ",1
"148",224,2020-11-26,"German","Insect Food",1
"149",225,2020-11-28,"German","Insect Food",4
"150",226,2020-11-29,"German","Insect Food",4
"151",227,2020-11-30,"German","Insect Food",1
"152",228,2020-12-01,"English","Insect Food",1
"153",229,2020-12-02,"German","Insect Food",1
"154",230,2020-12-04,"Italian","ULEZ",1
"155",231,2020-12-05,"Italian","ULEZ",2
"156",232,2020-12-08,"German","ULEZ",1
