"","term1","term2","cooc","fifteen_minutes","climate_lockdown","ulez","insect"
"1","confinement","climatique",112,3,112,2,NA
"2","ville","intelligent",97,23,2,84,8
"3","changement","climatique",74,17,24,21,18
"4","économique","mondial",60,9,4,27,22
"5","Forum","économique",54,8,3,26,19
"6","réchauffement","climatique",53,7,23,12,12
"7","grillon","domestique",45,NA,NA,NA,45
"8","crédit","social",42,6,10,26,NA
"9","smart","citie",41,NA,NA,41,NA
"10","faible","émission",40,1,NA,39,1
"11","commission","européen",30,3,4,1,25
"12","ordre","mondial",28,NA,4,25,1
"13","nouveau","ordre",26,NA,4,23,1
"14","maison","individuel",25,1,5,20,NA
"15","révolution","industriel",25,1,NA,22,2
"16","réaction","allergique",25,NA,NA,NA,25
"17","reconnaissance","facial",24,8,NA,16,NA
"18","propriété","privé",24,3,3,20,NA
"19","monde","entier",24,2,4,9,9
"20","grand","public",24,NA,1,1,22
"21","crise","cardiaque",24,NA,NA,23,1
"22","union","européen",23,1,1,4,18
"23","identité","numérique",23,7,6,12,NA
"24","être","humain",23,1,1,6,16
"25","corps","humain",22,11,NA,14,4
"26","eau","potable",19,9,NA,1,9
"27","Confinement","climatique",19,NA,19,NA,NA
"28","santé","public",19,NA,6,12,1
"29","insecte","lépidoptère",19,NA,NA,NA,19
"30","développement","durable",18,1,2,15,NA
"31","prochain","étape",17,4,2,2,10
"32","empreinte","carbone",15,2,NA,9,4
"33","grand","réinitialisation",15,1,1,10,3
"34","population","mondial",14,2,2,9,3
"35","arrêt","cardiaque",14,NA,NA,14,NA
"36","contrôle","total",13,8,2,1,4
"37","nation","uni",13,5,1,6,2
"38","nouveau","monde",13,NA,1,NA,12
"39","pass","sanitaire",13,NA,9,4,NA
"40","grand","ville",13,NA,1,10,2
"41","intelligence","artificiel",12,2,NA,9,1
"42","banque","central",12,3,3,1,5
"43","voiture","électrique",12,NA,7,5,NA
"44","nouveau","technologie",12,NA,NA,10,2
"45","dernier","année",12,NA,NA,5,7
"46","consommation","humain",12,NA,NA,NA,12
"47","autre","produit",12,NA,NA,NA,12
"48","troisième","guerre",12,NA,NA,NA,12
"49","viande","rouge",11,NA,9,NA,2
"50","quatrième","révolution",11,NA,NA,10,1
"51","cantine","scolaire",11,NA,NA,NA,11
"52","eau","doux",10,10,NA,NA,NA
"53","crise","climatique",10,NA,6,4,NA
"54","nouveau","aliment",10,NA,NA,NA,10
"55","Journal","officiel",10,NA,NA,NA,10
"56","entreprise","vietnamien",10,NA,NA,NA,10
"57","civilisation","ancien",10,NA,NA,NA,10
"58","élimination","permanent",10,NA,NA,NA,10
"59","énergie","intense",10,NA,NA,NA,10
"60","malaise","physique",10,NA,NA,NA,10
"61","émotionnel","différent",10,NA,NA,NA,10
"62","puissance","créateur",10,NA,NA,NA,10
"63","partie","actif",10,NA,NA,NA,10
"64","bon","cap",10,NA,NA,NA,10
"65","outil","évolutif",10,NA,NA,NA,10
"66","plan","énergétique",10,NA,NA,NA,10
"67","propre","responsabilité",10,NA,NA,NA,10
"68","manifestation","divin",10,NA,NA,NA,10
"69","densité","terrestre",10,NA,NA,NA,10
"70","transformation","nécessaire",10,NA,NA,NA,10
"71","nouveau","solution",10,NA,NA,NA,10
"72","grand","institution",10,NA,NA,NA,10
"73","ancien","adversaire",10,NA,NA,NA,10
"74","changement","vibratoire",10,NA,NA,NA,10
"75","blessure","profond",10,NA,NA,NA,10
"76","propre","oeil",10,NA,NA,NA,10
"77","changement","incomparable",10,NA,NA,NA,10
"78","identité","divin",10,NA,NA,NA,10
"79","avenir","proche",9,4,6,1,1
"80","droit","fondamental",9,1,NA,8,NA
"81","confinement","sanitaire",9,NA,9,2,NA
"82","transition","écologique",9,NA,1,7,1
"83","terre","agricole",9,NA,NA,4,5
"84","smart","city",9,NA,NA,9,NA
"85","ferme","vertical",9,NA,NA,1,8
"86","trouble","intestinal",9,NA,NA,NA,9
"87","sensibilité","nerveux",9,NA,NA,NA,9
"88","nombreux","dessert",9,NA,NA,NA,9
"89","couleur","aluminium",9,NA,NA,NA,9
"90","diatomique","anti",9,NA,NA,NA,9
"91","anti","agglomérant",9,NA,NA,NA,9
"92","pain","multicéréale",9,NA,NA,NA,9
"93","type","bière",9,NA,NA,NA,9
"94","nouveau","année",9,NA,NA,NA,9
"95","étiquetage","spécifique",9,NA,NA,NA,9
"96","Prémélange","sec",9,NA,NA,NA,9
"97","pâte","sec",9,NA,NA,NA,9
