"","topic1","topic2","topic3","topic4"
"1","insects","cities","climate","people"
"2","food","smart","world","can"
"3","eat","city","lockdowns","one"
"4","eating","minute","digital","us"
"5","bugs","join","agenda","just"
"6","insect","surveillance","global","like"
"7","meat","future","covid","need"
"8","us","plan","change","now"
"9","want","digital","new","get"
"10","new","wef","economic","know"
"11","now","share","social","go"
"12","also","agenda","great","see"
"13","can","social","government","every"
"14","like","us","wef","ulez"
"15","human","people","one","many"
"16","may","new","control","want"
"17","join","like","system","also"
"18","make","take","now","time"
"19","world","control","smart","going"
"20","wef","every","cities","even"
