"","topic1","topic2","topic3","topic4"
"1","città","solo","insetti","solo"
"2","minuti","essere","mangiare","varchi"
"3","smart","quando","cibo","via"
"4","city","persone","carne","lavoro"
"5","lockdown","stati","farina","senza"
"6","libertà","stato","base","sempre"
"7","canale","ora","grilli","anni"
"8","climatici","mondo","alimentare","no"
"9","climatico","fatto","prodotti","ogni"
"10","wef","vita","animali","stato"
"11","digitale","parte","essere","cosa"
"12","auto","fare","vermi","essere"
"13","controllo","sistema","possono","green"
"14","cittadini","dopo","dieta","così"
"15","futuro","prima","ue","fa"
"16","persone","altri","consumo","può"
"17","unisciti","sempre","vogliono","mai"
"18","piano","cosa","canale","c'è"
"19","mondo","molto","europea","prima"
"20","ogni","poi","grillo","dopo"
