"","lemma","n","share","fifteen_minutes","climate_lockdown","ulez","insect"
"1","Nederland",117,0.0178707805101573,18,9,54,41
"2","Smart",113,0.0172598136551092,3,NA,112,1
"3","WEF",78,0.0119138536734382,5,4,33,36
"4","De",74,0.0113028868183901,3,6,18,47
"5","City",71,0.010844661677104,10,2,59,NA
"6","EU",51,0.00778982740186345,2,5,2,42
"7","Vanguard",42,0.00641515197800519,1,7,2,32
"8","het",41,0.00626241026424317,1,NA,15,25
"9","en",38,0.00580418512295708,NA,1,7,30
"10","Gates",36,0.00549870169543302,NA,3,9,25
"11","Great",36,0.00549870169543302,1,15,8,13
"12","Reset",36,0.00549870169543302,1,15,8,13
"13","World",35,0.00534595998167099,3,6,17,11
"14","Apeldoorn",34,0.00519321826790897,NA,NA,34,NA
"15","Van",34,0.00519321826790897,2,NA,10,22
"16","forum",33,0.00504047655414694,3,4,14,14
"17","QR-code",32,0.00488773484038491,2,28,NA,3
"18","Acheta",31,0.00473499312662288,NA,NA,NA,31
"19","zijn",31,0.00473499312662288,NA,1,11,19
"20","Schwab",30,0.00458225141286085,3,3,4,20
"21","The",30,0.00458225141286085,4,8,4,15
"22","Economic",29,0.00442950969909882,3,5,14,9
"23","Rutte",29,0.00442950969909882,3,5,7,14
"24","januari",29,0.00442950969909882,1,NA,6,22
"25","Klaus",28,0.0042767679853368,4,2,2,20
"26","Bill",27,0.00412402627157477,NA,3,4,20
"27","China",27,0.00412402627157477,6,2,15,4
"28","Cities",26,0.00397128455781274,8,NA,25,NA
"29","agenda",26,0.00397128455781274,3,7,11,5
"30","Europa",25,0.00381854284405071,3,4,6,14
"31","IS",25,0.00381854284405071,NA,NA,10,15
"32","Italië",23,0.00351305941652665,2,13,5,3
"33","Oxford",23,0.00351305941652665,17,5,6,NA
"34","Rusland",23,0.00351305941652665,7,3,5,9
"35","5G",21,0.0032075759890026,NA,2,19,NA
"36","Who",19,0.00290209256147854,1,10,2,6
"37","je",19,0.00290209256147854,NA,4,5,10
"38","van",19,0.00290209256147854,2,3,8,6
