"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",0.357408354207954,0.115007905226814,3.10768510654191,0.00194171036075528
"date_diff",-0.000116301519380421,0.00012856374832537,-0.904621410742353,0.365895576495236
