"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",0.290932608636254,0.201169317938737,1.44620766037917,0.15653748696148
"date_diff",-0.00013970143071897,0.000238084780770532,-0.586771780484429,0.560920387634213
