"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",0.531626426551241,0.14931886269885,3.56034339494963,0.000481166887663919
"date_diff",-0.000476000374509512,0.000166124845966181,-2.86531717601359,0.00469517321279445
