"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",0.42702043536256,1.84477741790795,0.23147531578461,0.822756305314273
"date_diff",-0.000349242377842579,0.00193842078998272,-0.180168506057806,0.861500475785717
