"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",0.100419820319894,0.11435655685852,0.878129099708133,0.38148139590446
"date_diff",0.000171051408587131,0.000143478519749903,1.19217433303111,0.235348023365103
