"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",0.194504327816758,0.0429992959452241,4.52343052464239,6.93244078205155e-06
"date_diff",0.000132672321970714,5.80399277754935e-05,2.28588020446733,0.022502046907161
