"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",0.448764219947673,3.33885197728042,0.134406743096531,0.896400881935251
"date_diff",-0.000351544415839019,0.00350833657470445,-0.100202591271801,0.922649105836493
