"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",-0.109136528684405,0.207636660693166,-0.52561300263676,0.599796923439676
"date_diff",0.000332168416903058,0.000225634569237866,1.47215215303681,0.142706915587612
