"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",0.227964374170993,0.161846768708803,1.40851977453532,0.159522434118617
"date_diff",-3.47420022712552e-05,0.000180457066630745,-0.192522259836713,0.847401705008899
