"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",-1.70932096713024,0.00160438819337816,-1065.4036063,0.000597538417977003
"date_diff",0.00219108981693723,1.78369000247112e-06,1228.40281321401,0.000518249897256591
