"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",0.00794502923384651,0.0957453423411396,0.0829808431363529,0.934013589003577
"date_diff",0.000115681009132218,0.000126179601226726,0.916796439420952,0.361201830192544
