"","topic","detected_language","NER_text","n"
"1","insect","en",NA,121
"2","insect","en","Oxygen",99
"3","insect","en","Tarantulin",97
"4","ulez","en",NA,79
"5","insect","en","Moisturizing Skin\n*",48
"6","insect","en","Reactive Oxygen",48
"7","insect","en","Removing Make-Up",48
"8","ulez","en","Ulez",48
"9","fifteen_minutes","en","Christine Anderson",47
"10","insect","en","Acheta",40
"11","ulez","en","Sadiq Khan",38
"12","fifteen_minutes","en","David Fleming",34
"13","insect","en","Bill Gates",33
"14","ulez","en","Robin Monotti",33
"15","ulez","nl","Smart City",33
"16","fifteen_minutes","en","Agenda 21",32
"17","fifteen_minutes","en","Antifa",32
"18","insect","en","Trump",30
"19","ulez","en","Boris Johnson",30
"20","insect","en","Schwab",29
"21","insect","en","Fauci",28
"22","climate_lockdown","en","Covid",27
"23","fifteen_minutes","en","Debbie Hicks",27
"24","insect","en","Mislav Kolaku\u0161i\u0107",26
"25","insect","en","Covid",25
"26","insect","nl","Chitine",25
"27","insect","en","Lara Logan",24
"28","ulez","en","Clinton",24
"29","climate_lockdown","en","Marc Morano",23
"30","fifteen_minutes","en","Chris Sky",23
"31","insect","en","Angelina Jolie",23
"32","ulez","en","Bastien Girod",23
"33","climate_lockdown","en","LOCKDOWNS",22
"34","insect","en","Aussie",22
"35","insect","en","Biden",21
"36","climate_lockdown","en","Katie Hopkins",20
"37","insect","en","\U0001f1f8",20
"38","ulez","en","Agenda 2030",20
"39","insect","en","Kim Kardashian",18
"40","insect","en","Eva Vlaardingerbroek",17
"41","fifteen_minutes","en","Covid",16
"42","fifteen_minutes","en","Edmonton",16
"43","fifteen_minutes","en","Larry Fink",16
"44","insect","en","BANNED HEMP",16
"45","insect","en","Superfood",16
"46","insect","nl","U",16
"47","ulez","en","Aman Jabbi",16
"48","ulez","en","Bill Gates",16
"49","ulez","en","Khan",16
"50","climate_lockdown","en","Yellow Boards",15
"51","fifteen_minutes","en","Yellow Boards",15
"52","fifteen_minutes","en","\U0001d679\U0001d698\U0001d692\U0001d697",15
"53","fifteen_minutes","en",NA,15
"54","fifteen_minutes","en","Carlos Moreno",14
"55","fifteen_minutes","en","Paul Burgess",14
"56","fifteen_minutes","en","Tad Hargrave",14
"57","insect","en","David Icke",14
"58","insect","en","Nicole Kidman",14
"59","ulez","en","Vaccine",14
"60","insect","en","Hillary Clinton",13
"61","insect","en","Jolie",13
"62","insect","en","Kherson",13
"63","insect","en","Robert Downey Jr.",13
"64","insect","nl","):\n\n",13
"65","insect","nl","Bacteri\xebn",13
"66","insect","nl","Bill Gates",13
"67","ulez","en","Eric Levy",13
"68","ulez","en","Maria Zeee",13
"69","ulez","nl","\u26d4\u26d4",13
"70","fifteen_minutes","en","Mike",12
"71","fifteen_minutes","en","Niko",12
"72","fifteen_minutes","en","\U0001f396",12
"73","insect","en","Barron Wisconsin",12
"74","insect","en","\U0001f3fd",12
"75","insect","nl","Droge voormengsels",12
"76","insect","nl","Meergranenbrood\n",12
"77","insect","nl","Vietnam",12
"78","ulez","en","\U0001f1e7 Londoners",12
"79","climate_lockdown","en","Karl Lauterbach",11
"80","climate_lockdown","nl","#FVD",11
"81","climate_lockdown","nl","Covid",11
"82","climate_lockdown","nl","Green Pass",11
"83","fifteen_minutes","en","Manchester",11
"84","fifteen_minutes","en","Sandi Adams",11
"85","insect","en","Tucker Carlson",11
"86","insect","nl","Klaus Schwab",11
"87","insect","nl","koekjes\n",11
"88","ulez","en","Karl Marx",11
"89","climate_lockdown","en","Bracknell",10
"90","climate_lockdown","en",NA,10
"91","fifteen_minutes","en","Ben Walker",10
"92","fifteen_minutes","en","Bracknell",10
"93","fifteen_minutes","en","Dan Astin-Gregory",10
"94","fifteen_minutes","en","George Della",10
"95","fifteen_minutes","en","James Harvey",10
"96","insect","en","Cringey Diet Truth",10
"97","insect","en","Steeke",10
"98","insect","nl","Mensen zullen",10
"99","insect","nl","Waarom",10
"100","ulez","en","Alex Newman",10
"101","ulez","en","Documentaries",10
"102","ulez","en","Trump",10
"103","ulez","nl","Kijk",10
"104","climate_lockdown","en","Biden",9
"105","climate_lockdown","en","Christine Anderson",9
"106","fifteen_minutes","en","David",9
"107","fifteen_minutes","en","Jonathan Tilt",9
"108","insect","en","@GitmoTV",9
"109","insect","en","Breitbart",9
"110","insect","en","Francis",9
"111","insect","en","Kelen",9
"112","insect","en","Olson",9
"113","insect","nl","God",9
"114","insect","nl","Kijk",9
"115","ulez","en","Alex Antic",9
"116","ulez","en","Biden",9
"117","ulez","en","Glasgow",9
"118","ulez","en","Kollona Amn",9
"119","ulez","en","Max Egan",9
"120","ulez","en","Newcastle",9
"121","ulez","en","Pfizer",9
"122","ulez","en","Sean Finch",9
"123","ulez","en","\U0001d652\U0001d65d\U0001d656\U0001d669\U0001d65a\U0001d66b\U0001d65a\U0001d667 \U0001d654\U0001d664\U0001d66a \U0001d63e\U0001d656\U0001d663 \U0001d64f\U0001d664 \U0001d63f\U0001d65e\U0001d668\U0001d667\U0001d66a\U0001d665\U0001d669 \U0001d64f\U0001d65d\U0001d65a\U0001d65e\U0001d667 \U0001d64b\U0001d661\U0001d656\U0001d663\U0001d668",9
"124","ulez","en","eSmart",9
"125","ulez","nl","Tutte",9
"126","ulez","nl",NA,9
"127","climate_lockdown","en","Bill Gates",8
"128","climate_lockdown","en","Worldwide Lockdowns",8
"129","fifteen_minutes","en","Jordan Peterson",8
"130","fifteen_minutes","en","MEP Anderson",8
"131","fifteen_minutes","en","Robin Monotti",8
"132","fifteen_minutes","nl","Christine Anderson",8
"133","insect","en","Governments",8
"134","insect","en","Parks",8
"135","insect","en","Soros",8
"136","insect","nl","DNA",8
"137","ulez","en","Aman",8
"138","ulez","en","Builds",8
"139","ulez","en","Covid",8
"140","ulez","en","David Martin",8
"141","ulez","en","Jeffrey Epstein",8
"142","ulez","en","Mr Khan",8
"143","ulez","en","Ron DeSantis",8
"144","ulez","en","Schwab",8
"145","ulez","en","W. Scott McCollough",8
"146","climate_lockdown","en","Malcolm Roberts",7
"147","climate_lockdown","en","Manufactured Drought",7
"148","climate_lockdown","en","Mariana Mazzucato",7
"149","climate_lockdown","nl","Corona",7
"150","fifteen_minutes","en","Agenda 2030",7
"151","fifteen_minutes","en","Alan Miller",7
"152","fifteen_minutes","en","Alexander Gusev",7
"153","fifteen_minutes","en","Biden",7
"154","fifteen_minutes","en","Bill Gates",7
"155","fifteen_minutes","en","Christine Anderson MEP",7
"156","fifteen_minutes","en","Clare Craig",7
"157","fifteen_minutes","en","Hurricane Ian",7
"158","fifteen_minutes","en","Robert Malone",7
"159","fifteen_minutes","en","Ryan Cole",7
"160","fifteen_minutes","en","\U0001f602",7
"161","insect","en","Backchannels",7
"162","insect","en","Bee Happy",7
"163","insect","en","EN[O]UGH",7
"164","insect","en","INFORMATION WARFARE",7
"165","insect","en","Logan",7
"166","insect","en","Putin",7
"167","insect","en","Yuval Harari",7
"168","insect","en","\U0001f377",7
"169","insect","en","https://qalerts.app/?n=4332",7
"170","insect","nl","locusta migratoria",7
"171","ulez","en","Adolf Hitler",7
"172","ulez","en","COVID",7
"173","ulez","en","Cooper",7
"174","ulez","en","Covid Doc",7
"175","ulez","en","Dennis Meadows",7
"176","ulez","en","G[raphene Oxide Connection to Elon Musk\u2019s",7
"177","ulez","en","Jerm Warfare",7
"178","ulez","en","Katie Hopkins",7
"179","ulez","en","Lobbyists Doc",7
"180","ulez","en","MSM",7
"181","ulez","en","Neom",7
"182","ulez","en","Simon \n\nFollow",7
"183","ulez","en","\U0001d679\U0001d698\U0001d692\U0001d697",7
"184","ulez","en","mini doc",7
"185","ulez","nl","Denk",7
"186","climate_lockdown","en","Centralised Banking",6
"187","climate_lockdown","en","Codex Alimentarius,",6
"188","climate_lockdown","en","Green Taxes",6
"189","climate_lockdown","en","JFK Awakening",6
"190","climate_lockdown","en","Laura",6
"191","climate_lockdown","en","Lockdowns",6
"192","climate_lockdown","en","Peak Pricing",6
"193","climate_lockdown","en","\U0001f3fb Digital",6
"194","climate_lockdown","en","\U0001f3fb Perpetual",6
"195","climate_lockdown","en","\U0001f3fb Vaccine",6
"196","climate_lockdown","nl","CO2",6
"197","fifteen_minutes","en","Chris Whitty",6
"198","fifteen_minutes","en","Covid Lockdown",6
"199","fifteen_minutes","en","Eric Levy",6
"200","fifteen_minutes","en","Francis Hoar",6
"201","fifteen_minutes","en","George Della Pietra",6
"202","fifteen_minutes","en","Laura",6
"203","fifteen_minutes","en","W. Scott McCollough",6
"204","fifteen_minutes","en","\U0001f60f",6
"205","fifteen_minutes","en","\U0001f6ce",6
"206","fifteen_minutes","nl","Nee",6
"207","insect","en","Angela \u2728\U0001f942\n\nTruth Social",6
"208","insect","en","Centralised Banking",6
"209","insect","en","Codex Alimentarius,",6
"210","insect","en","Glasse",6
"211","insect","en","Green Taxes",6
"212","insect","en","Kagan",6
"213","insect","en","Lucifer",6
"214","insect","en","Maui",6
"215","insect","en","Nemo",6
"216","insect","en","Nimrod",6
"217","insect","en","Peak Pricing",6
"218","insect","en","\U0001f1ee\U0001f1f9 + \U0001f1f5",6
"219","insect","en","\U0001f92a\U0001f609\n",6
"220","insect","nl","Fact Check",6
"221","insect","nl","Laten",6
"222","insect","nl","Nee",6
"223","insect","nl","Rob Roos",6
